,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
55,M1629688537,condo,105000,0.0,1,2,Fresno,4755 N Cedar Ave Apt 101,93726,CA,Fresno,944
56,M1209772898,condo,230000,1.0,2,3,Fresno,2890 Huntington Blvd Apt 122,93721,CA,Fresno,1875
57,M1031716224,condo,139900,0.0,1,2,Fresno,4504 N Valentine Ave Apt 115,93722,CA,Fresno,916
58,M1031269033,condo,109000,0.0,1,1,Fresno,4504 N Valentine Ave Apt 138,93722,CA,Fresno,748
59,M1189354160,condo,200000,0.0,2,3,Fresno,325 W Bullard Ave Apt 104,93704,CA,Fresno,1587
60,M2988464811,condo,151000,0.0,1,2,Fresno,3319 E S Cherry Ave,93706,CA,Fresno,940
61,M2096705328,condo,110000,0.0,2,2,Fresno,1027 W Dakota Ave Apt 106,93705,CA,Fresno,1046
62,M2047240889,condo,72000,1.0,1,2,Fresno,4136 N Thesta St Apt 30,93726,CA,Fresno,1056
63,M1222965041,condo,364950,0.0,2,2,Fresno,2555 W Bluff Ave Unit 140,93711,CA,Fresno,2322
64,M1217971405,condo,445000,1.0,1,2,Fresno,5098 E Ashlan Ave,93727,CA,Fresno,977
65,M1023778578,condo,150000,0.0,1,2,Fresno,1250 E Shaw Ave Apt 115,93710,CA,Fresno,1096
66,M1238433406,condo,125000,0.0,1,2,Fresno,5085 N Wishon Ave Apt 23,93704,CA,Fresno,841
67,M2799114781,condo,92000,1.0,1,2,Fresno,4875 E McKinley Ave Unit 114,93703,CA,Fresno,968
68,M1212791439,condo,64900,0.0,1,1,Fresno,1151 S Chestnut Ave Unit 110,93702,CA,Fresno,566
69,M1256679041,condo,3500000,0.0,2,3,Fresno,2895 E Nees Ave,93619,CA,Fresno,1662
70,M2791965103,condo,63900,0.0,1,1,Fresno,4860 E Lane Ave Unit 115,93727,CA,Fresno,566
71,M2197683499,condo,81999,0.0,2,2,Fresno,1190 S Winery Ave Unit 217,93727,CA,Fresno,1013
72,M1064863625,condo,66500,0.0,1,1,Fresno,4860 E Lane Ave Unit 239,93727,CA,Fresno,679
