,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
88,M2358725380,condo,187000.0,0.0,1,2,Sacramento,95821,CA,Sacramento,952
89,M2858140763,condo,105000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,924
90,M2930065592,condo,195000.0,0.0,1,2,Sacramento,95825,CA,Sacramento,1000
91,M1953701019,condo,196000.0,0.0,1,2,Citrus Heights,95621,CA,Sacramento,958
92,M2079624564,condo,439000.0,1.0,1,2,Sacramento,95814,CA,Sacramento,1014
93,M2805877495,condo,210000.0,0.0,1,1,Elk Grove,95758,CA,Sacramento,722
94,M2883520430,condo,199000.0,0.0,2,2,Fair Oaks,95628,CA,Sacramento,994
95,M1135140099,condo,410000.0,1.0,2,2,Gold River,95670,CA,Sacramento,1564
96,M2941059045,condo,279000.0,0.0,2,2,Sacramento,95825,CA,Sacramento,1099
97,M2598080951,condo,449000.0,3.0,3,3,Sacramento,95825,CA,Sacramento,1776
98,M2222384336,condo,169900.0,0.0,1,1,Sacramento,95825,CA,Sacramento,682
99,M2701720715,condo,179000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,701
100,M2760580085,condo,269900.0,0.0,1,3,Sacramento,95826,CA,Sacramento,1191
101,M2941319906,condo,195000.0,0.0,1,2,Sacramento,95825,CA,Sacramento,781
102,M2705315365,condo,210000.0,0.0,1,2,Elk Grove,95624,CA,Sacramento,840
103,M1279241172,condo,355000.0,0.0,2,2,Sacramento,95831,CA,Sacramento,1325
104,M1148704902,condo,325000.0,1.0,2,3,Sacramento,95834,CA,Sacramento,1522
105,M1932232687,condo,245000.0,0.0,1,2,Sacramento,95823,CA,Sacramento,857
106,M2361539494,condo,325000.0,0.0,2,2,Citrus Heights,95610,CA,Sacramento,1649
107,M1353484376,condo,299000.0,1.0,2,3,Fair Oaks,95628,CA,Sacramento,1746
108,M1981911337,condo,259950.0,0.0,2,2,Citrus Heights,95621,CA,Sacramento,1060
109,M1951465062,condo,274900.0,1.0,2,3,Citrus Heights,95621,CA,Sacramento,1323
110,M2510804114,condo,399950.0,1.0,2,3,Sacramento,95825,CA,Sacramento,1748
111,M1893646418,condo,220000.0,0.0,2,3,Rancho Cordova,95670,CA,Sacramento,1240
112,M2665663730,condo,347000.0,0.0,1,2,Sacramento,95814,CA,Sacramento,950
113,M1448151243,condo,299000.0,0.0,2,3,Sacramento,95833,CA,Sacramento,1178
114,M1324008942,condo,425000.0,0.0,2,2,Sacramento,95822,CA,Sacramento,1323
115,M1029448996,condo,264500.0,0.0,1,1,Roseville,95678,CA,Placer,851
116,M1829415002,condo,189000.0,0.0,1,2,Sacramento,95842,CA,Sacramento,924
117,M2554351063,condo,750000.0,1.0,1,1,Sacramento,95811,CA,Sacramento,1219
