,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
104,M9197137639,condo,849900,1,2,3,Anaheim,534 S Motif St,92805,CA,Orange,2137
105,M1334738384,condo,483900,1,2,3,Anaheim,3083 W Cheryllyn Ln,92804,CA,Orange,1311
106,M1473270414,condo,349900,0,2,2,Anaheim,1250 S Brookhurst St Unit 2102,92804,CA,Orange,912
107,M9702116655,condo,664747,1,2,3,Anaheim,527 Motif St,92805,CA,Orange,1795
108,M2658129408,condo,369900,0,1,1,Anaheim,1801 E Katella Ave Apt 4044,92805,CA,Orange,728
109,M9134855391,condo,657311,1,2,3,Anaheim,781 Mosaic St,92805,CA,Orange,1695
110,M9187018394,condo,568368,1,2,2,Anaheim,779 Mosaic St,92805,CA,Orange,1378
111,M2430367243,condo,499000,1,2,3,Anaheim,3311 W Lincoln Ave Apt 4,92801,CA,Orange,1604
112,M1952685726,condo,499000,1,2,3,Anaheim,2361 S Cutty Way Unit 64,92802,CA,Orange,1392
113,M1456351676,condo,319888,0,2,2,Anaheim,1250 S Brookhurst St Unit 2034,92804,CA,Orange,912
114,M9744621115,condo,585990,1,3,3,Anaheim,670 S Kinney Way,92805,CA,Orange,1701
115,M2197289592,condo,549990,1,2,2,Anaheim Hills,5639 E Vista Del Cerro,92807,CA,Orange,1400
116,M9397636765,condo,688585,1,2,3,Anaheim,981 E Mason Ln Unit 119,92805,CA,Orange,1858
117,M9209438035,condo,613073,1,2,2,Anaheim,1678 S Lewis St,92805,CA,Orange,1554
118,M9089631109,condo,768125,1,3,4,Anaheim,981 E Mason Ln Unit 121,92805,CA,Orange,2185
119,M1509232048,condo,315000,0,1,2,Anaheim,1250 S Brookhurst St Unit 1075,92804,CA,Orange,856
120,M1320307322,condo,437000,0,3,2,Anaheim,294 S Seneca Cir Unit 55,92805,CA,Orange,1292
121,M2209464029,condo,339000,0,1,1,Anaheim,1801 E Katella Ave Apt 1065,92805,CA,Orange,651
122,M2840510857,condo,275000,0,1,2,Anaheim,1178 S Citron St Unit 76,92805,CA,Orange,824
