,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
75,M1520741997,single_family,998000,0.0,3,3,San Diego,5051 Savannah St,92110,CA,San Diego,1210.0,7560.0
76,M2868706226,single_family,749000,0.0,1,3,San Diego,4091 Willamette Ave,92117,CA,San Diego,1679.0,10889.0
77,M2576735637,single_family,410000,0.0,2,3,San Diego,6335 Newsome Dr,92115,CA,San Diego,1160.0,6103.0
78,M1755293839,single_family,843000,0.0,2,3,San Diego,5005 Vista Pl,92116,CA,San Diego,1732.0,6300.0
79,M1529387726,single_family,719000,0.0,2,3,San Diego,12762 Jardin Rd,92128,CA,San Diego,10000.0,22215.0
80,M2108787198,single_family,579000,0.0,2,3,San Diego,4840 67th St,92115,CA,San Diego,830.0,7196.0
81,M2736368413,single_family,949000,0.0,2,3,San Diego,4230 Piper St,92117,CA,San Diego,1978.0,6500.0
82,M2492631968,single_family,11998000,3.0,6,6,La Jolla,8350 Calle Del Cielo,92037,CA,San Diego,3168.0,6800.0
83,M1177436762,single_family,520000,1.0,1,3,San Diego,3427 39th St,92105,CA,San Diego,2162.0,15246.0
84,M2510685865,single_family,749900,0.0,2,3,San Diego,8517 Dubonnet St,92123,CA,San Diego,3600.0,7896.0
85,M2322965972,single_family,2650000,0.0,3,5,San Diego,2130 LA Amatista Rd,92014,CA,San Diego,7654.0,9433.0
86,M1375879282,single_family,613600,1.0,2,4,San Diego,675 Vista Santo Thomas,92154,CA,San Diego,3839.0,7540.0
87,M2616014581,single_family,1198300,0.0,4,5,San Diego,17868 Alva Rd,92127,CA,San Diego,1247.0,6504.0
88,M2823610400,single_family,5750000,1.0,5,6,La Jolla,5751 Chelsea Ave,92037,CA,San Diego,1086.0,5400.0
89,M2824006538,single_family,1908000,0.0,4,4,San Diego,1891 Titus St,92110,CA,San Diego,1327.0,5800.0
90,M2128701732,single_family,650000,0.0,2,3,San Diego,2036 S 42nd St,92113,CA,San Diego,1674.0,10200.0
91,M1630344283,single_family,485000,0.0,1,3,San Diego,2116 Fieger St,92105,CA,San Diego,1540.0,5000.0
92,M2896142030,single_family,549900,0.0,2,4,San Diego,6704 Pilot Way,92114,CA,San Diego,1329.0,6800.0
93,M2174240714,single_family,529900,0.0,2,3,San Diego,5018 Palin St,92113,CA,San Diego,4300.0,8646.0
94,M2730741256,single_family,1314000,0.0,2,4,Pacific Beach,3740 Yosemite St,92109,CA,San Diego,1018.0,7499.0
95,M1160119471,single_family,750000,0.0,2,3,San Diego,2141 March Pl,92110,CA,San Diego,2518.0,10889.0
96,M2562166454,single_family,1988000,1.0,4,5,San Diego,6279 Sunrose Crest Way,92130,CA,San Diego,1392.0,6800.0
97,M2067167468,single_family,619900,0.0,1,3,San Diego,5250 Conrad Ave,92117,CA,San Diego,1818.0,7499.0
98,M2077146639,single_family,1425000,1.0,2,3,La Jolla,2367 Falkirk Row,92037,CA,San Diego,1490.0,5300.0
99,M1182441771,single_family,845000,0.0,2,3,San Diego,4861 Field St,92110,CA,San Diego,2245.0,9100.0
100,M2390673115,single_family,1750000,0.0,2,3,La Jolla,5526 Moonlight Ln,92037,CA,San Diego,1357.0,4359.0
101,M1021665153,single_family,625000,0.0,1,3,San Diego,7657 Acama St,92126,CA,San Diego,1829.0,17424.0
102,M2760224914,single_family,845000,0.0,3,5,San Diego,6875 Ridge Manor Dr,92120,CA,San Diego,2612.0,10889.0
103,M2854811440,single_family,615000,0.0,2,3,San Diego,4102 45th St,92105,CA,San Diego,4812.0,71003.0
104,M1170668240,single_family,1795000,0.0,2,3,La Jolla,5984 La Jolla Corona Dr,92037,CA,San Diego,2369.0,4870.0
105,M1287745328,single_family,1350000,1.0,2,3,San Diego,11688 Aspendell Dr,92131,CA,San Diego,3472.0,5712.0
106,M2430771268,single_family,3749000,1.0,4,3,La Jolla,6105 La Jolla Scenic Dr S,92037,CA,San Diego,2080.0,73616.0
107,M2835782606,single_family,1249000,1.0,2,4,San Diego,4177 Del Mar Trails Rd,92130,CA,San Diego,1338.0,8171.0
108,M1570867197,single_family,1369000,1.0,5,5,San Diego,1003 Hayes Ave,92103,CA,San Diego,1342.0,7499.0
109,M2619714672,single_family,1095000,1.0,2,4,San Diego,12880 Caminito Beso,92130,CA,San Diego,1890.0,10000.0
110,M1881651278,single_family,905000,0.0,2,2,San Diego,4215 Madison Ave,92116,CA,San Diego,1118.0,11761.0
111,M2399856953,single_family,749900,0.0,2,4,San Diego,3839 Hatton St,92111,CA,San Diego,5131.0,57935.0
112,M1320128056,single_family,840000,0.0,2,4,San Diego,6525 Decanture St,92120,CA,San Diego,2597.0,5749.0
113,M1962217097,single_family,679000,0.0,2,3,San Diego,4542 Chateau Dr,92117,CA,San Diego,2500.0,5717.0
114,M2230317764,single_family,4995000,0.0,4,6,La Jolla,1419 Inspiration Dr,92037,CA,San Diego,1559.0,7499.0
115,M2957120515,single_family,1295000,0.0,3,4,San Diego,10942 Cloverhurst Way,92130,CA,San Diego,5289.0,37897.0
116,M2307365512,single_family,1399000,0.0,4,6,San Diego,4721-23 Edgeware Rd,92116,CA,San Diego,2662.0,4584.0
117,M1376961767,single_family,540000,0.0,2,4,San Diego,6998 Bullock Dr,92114,CA,San Diego,2500.0,6600.0
118,M2617623559,single_family,2100000,1.0,4,5,San Diego,15541 Mission Preserve Pl,92131,CA,San Diego,4458.0,16044.0
119,M2712954029,single_family,995000,0.0,3,4,San Diego,3025 Browning St,92106,CA,San Diego,3178.0,7499.0
120,M1453345577,single_family,524999,0.0,3,4,San Diego,3972 Kimsue Way,92154,CA,San Diego,1402.0,7499.0
121,M2143331287,single_family,2990000,1.0,4,4,San Diego,6254 Belmont Trail Ct,92130,CA,San Diego,1270.0,4964.0
122,M9579411474,single_family,2795000,1.0,3,3,La Jolla,298 Playa Del Sur,92037,CA,San Diego,1407.0,7499.0
123,M2593876256,single_family,1350000,0.0,4,5,San Diego,13510 Peach Tree Way,92130,CA,San Diego,2937.0,7499.0
124,M1549250474,single_family,665000,0.0,2,3,San Diego,16432 Sarape Dr,92128,CA,San Diego,1966.0,7499.0
125,M2401958367,single_family,615000,0.0,2,2,San Diego,5820 Adelaide Ave,92115,CA,San Diego,2110.0,10889.0
126,M2434700609,single_family,749900,0.0,2,4,San Diego,3417 Aldford Dr,92111,CA,San Diego,1793.0,6000.0
127,M2395858156,single_family,1490000,0.0,4,3,Del Mar,2780 Cordoba Cv,92014,CA,San Diego,1036.0,2700.0
128,M1315183089,single_family,749000,0.0,2,3,San Diego,18192 Calle Estepona,92128,CA,San Diego,6888.0,43560.0
129,M1168559244,single_family,555000,0.0,2,3,San Diego,1762 Donax Ave,92154,CA,San Diego,1700.0,7499.0
130,M2298679919,single_family,785000,0.0,2,3,San Diego,5011 Mount Casas Dr,92117,CA,San Diego,1595.0,7499.0
131,M2732380957,single_family,935000,0.0,2,3,San Diego,1959 Pacific Beach Dr,92109,CA,San Diego,1100.0,10889.0
132,M1325765209,single_family,2999000,1.0,5,5,San Diego,7871 Corte De Luz,92127,CA,San Diego,892.0,9400.0
133,M2226905714,single_family,769000,0.0,2,3,San Diego,3988 Canning Ave,92111,CA,San Diego,750.0,7499.0
134,M2289971061,single_family,720000,1.0,2,3,San Diego,5332 Corte Playa Jacinto,92124,CA,San Diego,1032.0,14810.0
135,M2583257177,single_family,550000,0.0,2,3,San Diego,3770 Nassau Dr,92115,CA,San Diego,1176.0,5000.0
136,M1924231729,single_family,1300000,0.0,1,2,San Diego,1124 Agate St,92109,CA,San Diego,1219.0,6400.0
137,M1461369127,single_family,429000,0.0,1,2,San Diego,517 Sears Ave,92114,CA,San Diego,1200.0,7400.0
138,M1880086108,single_family,849000,0.0,2,2,San Diego,4385 Alder Dr,92116,CA,San Diego,4720.0,24394.0
139,M2158812614,single_family,489500,0.0,2,3,San Diego,1385 S 50th St,92113,CA,San Diego,3095.0,10889.0
140,M1188157981,single_family,549000,0.0,1,4,San Diego,6205 Lake Albano Ave,92119,CA,San Diego,1889.0,7499.0
141,M1931100035,single_family,740000,0.0,2,3,San Diego,4519 Cannington Dr,92117,CA,San Diego,1289.0,5400.0
142,M2404369250,single_family,1725000,1.0,4,4,San Diego,16428 Irish Eyes Ln,92127,CA,San Diego,2514.0,7499.0
143,M1179343654,single_family,7495000,0.0,3,3,La Jolla,1640 Torrey Pines Rd,92037,CA,San Diego,1995.0,5100.0
144,M2046551300,single_family,889000,1.0,2,3,San Diego,11558 Village Ridge Rd,92131,CA,San Diego,1068.0,10889.0
