,index,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
0,0,M1420126120,single_family,499700,0.0,3,4,Dixon,95620,CA,Solano,2169,4783.0
1,1,M2415397004,single_family,340000,0.0,2,3,Sacramento,95826,CA,Sacramento,1270,5920.0
2,2,M1186346624,single_family,375900,0.0,3,4,Citrus Heights,95610,CA,Sacramento,1736,6098.0
3,3,M2897618299,single_family,395000,0.0,2,3,Sacramento,95826,CA,Sacramento,1516,6739.0
4,4,M2738139661,single_family,1275000,0.0,3,3,Sacramento,95831,CA,Sacramento,3375,24202.0
5,5,M1231037447,single_family,474999,0.0,2,3,West Sacramento,95691,CA,Yolo,2182,3920.0
6,6,M2055327904,single_family,649900,0.0,2,2,Sacramento,95819,CA,Sacramento,1611,5306.0
7,7,M1123778177,single_family,660000,0.0,3,4,Auburn,95603,CA,Placer,2620,8973.0
8,8,M1008706754,single_family,454950,0.0,2,3,Elk Grove,95757,CA,Sacramento,1639,6316.0
9,9,M1881725963,single_family,519900,0.0,3,4,Elk Grove,95624,CA,Sacramento,2189,7279.0
10,10,M2407936662,single_family,359900,0.0,2,3,Roseville,95678,CA,Placer,1189,8307.0
11,11,M1095711355,single_family,554800,0.0,3,4,Roseville,95747,CA,Placer,2186,7514.0
12,12,M1200068714,single_family,435000,0.0,3,5,Sacramento,95828,CA,Sacramento,2742,8795.0
13,13,M1710778861,single_family,524500,1.0,2,4,Carmichael,95608,CA,Sacramento,2021,9518.0
14,14,M1366453994,single_family,649900,0.0,3,4,Rocklin,95677,CA,Placer,2508,12985.0
15,15,M2996477691,single_family,675000,1.0,3,4,Loomis,95650,CA,Placer,3015,10594.0
16,16,M2224550959,single_family,440000,1.0,2,4,Rocklin,95677,CA,Placer,1694,4870.0
17,17,M1300966727,single_family,1200000,1.0,4,6,Lincoln,95648,CA,Placer,5242,17633.0
18,18,M1707054192,single_family,345000,0.0,2,3,Sacramento,95824,CA,Sacramento,1661,4792.0
19,19,M1052498731,single_family,425000,0.0,2,3,Orangevale,95662,CA,Sacramento,1644,8577.0
20,20,M2523844779,single_family,399000,1.0,2,3,Lincoln,95648,CA,Placer,1542,4526.0
21,21,M2695006519,single_family,330000,0.0,2,3,Sacramento,95842,CA,Sacramento,1236,5663.0
22,22,M1636503495,single_family,560000,0.0,3,4,Roseville,95747,CA,Placer,2917,5018.0
23,23,M2979751611,single_family,574500,0.0,2,2,Sacramento,95835,CA,Sacramento,2089,7183.0
24,24,M2220364731,single_family,329900,1.0,1,3,Sacramento,95821,CA,Sacramento,1075,10585.0
25,25,M2825223901,single_family,815000,1.0,3,4,Rocklin,95765,CA,Placer,3555,14845.0
26,26,M1572157778,single_family,899000,0.0,3,4,Sacramento,95829,CA,Sacramento,3238,34412.0
27,27,M2953908613,single_family,549900,0.0,3,4,Roseville,95678,CA,Placer,2338,6368.0
28,28,M2161286840,single_family,515000,0.0,2,3,Sacramento,95864,CA,Sacramento,1710,5227.0
29,29,M2895423155,single_family,889000,0.0,3,3,Davis,95618,CA,Yolo,2777,5837.0
30,30,M2076563682,single_family,330000,0.0,2,4,Sacramento,95823,CA,Sacramento,1591,6090.0
31,31,M2402832084,single_family,649500,0.0,1,2,Sacramento,95819,CA,Sacramento,1345,5001.0
32,32,M1182069264,single_family,325000,0.0,2,3,Sacramento,95828,CA,Sacramento,1130,6098.0
33,33,M2750791220,single_family,525000,0.0,3,4,Elk Grove,95757,CA,Sacramento,2723,6125.0
34,34,M2746840296,single_family,320000,0.0,2,3,Rancho Cordova,95670,CA,Sacramento,1390,6534.0
35,35,M2177098972,single_family,289900,0.0,1,2,Sacramento,95821,CA,Sacramento,943,5227.0
36,36,M2983347637,single_family,299900,0.0,1,3,Sacramento,95821,CA,Sacramento,1229,10019.0
37,37,M2299370455,single_family,269900,0.0,1,3,Sacramento,95824,CA,Sacramento,875,6098.0
38,38,M1345721688,single_family,409000,0.0,2,3,Sacramento,95815,CA,Sacramento,1291,7841.0
39,39,M2397730715,single_family,599000,0.0,3,5,Lincoln,95648,CA,Placer,3119,7144.0
40,40,M1999810362,single_family,399999,1.0,2,4,Citrus Heights,95621,CA,Sacramento,1673,5789.0
41,41,M2899894671,single_family,665000,1.0,2,3,Sacramento,95841,CA,Sacramento,2224,44867.0
42,42,M2586467275,single_family,575000,0.0,2,3,Sacramento,95831,CA,Sacramento,1770,12197.0
