,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
61,P417000483259,single_family,1200000,0.0,3,4,Newark,94560,CA,Alameda,,1345.0
62,P417000483257,single_family,1200000,0.0,3,4,Newark,94560,CA,Alameda,,1979.0
63,P417000483263,single_family,2000000,1.0,4,4,Sunnyvale,94086,CA,Santa Clara,,1830.0
64,P417000483258,single_family,1200000,1.0,3,4,Newark,94560,CA,Alameda,,4808.0
65,P417000483261,single_family,2000000,1.0,4,4,Sunnyvale,94086,CA,Santa Clara,,1386.0
66,P417000483262,single_family,2000000,0.0,4,4,Sunnyvale,94086,CA,Santa Clara,,2199.0
67,P417000483264,single_family,2000000,1.0,4,4,Sunnyvale,94086,CA,Santa Clara,,2051.0
68,P417000483260,single_family,1200000,0.0,3,4,Newark,94560,CA,Alameda,,1195.0
69,M2804140458,single_family,1499000,0.0,2,4,Santa Clara,95051,CA,Santa Clara,6802.0,1060.0
70,M2154948144,single_family,1499000,0.0,3,4,Morgan Hill,95037,CA,Santa Clara,57652.0,3828.0
71,M2409777734,single_family,1880000,1.0,1,2,Palo Alto,94301,CA,Santa Clara,1816.0,3205.0
72,M2101276780,single_family,1299950,0.0,3,5,Fremont,94538,CA,Alameda,7228.0,3120.0
73,M1076658006,single_family,750000,0.0,1,3,San Jose,95133,CA,Santa Clara,6706.0,1012.0
74,M2590460693,single_family,4998000,0.0,6,7,Saratoga,95070,CA,Santa Clara,43926.0,2176.0
75,M9836808115,single_family,1848000,0.0,3,4,Santa Clara,95050,CA,Santa Clara,4250.0,3800.0
76,M2376376077,single_family,1998000,0.0,2,4,Sunnyvale,94087,CA,Santa Clara,7794.0,1620.0
77,M1786243984,single_family,1349000,1.0,2,4,Milpitas,95035,CA,Santa Clara,6281.0,1400.0
78,M1885257576,single_family,1370000,0.0,3,4,San Jose,95133,CA,Santa Clara,4644.0,1431.0
79,M2670233686,single_family,1258000,0.0,3,5,San Jose,95136,CA,Santa Clara,9875.0,2470.0
80,M1905311819,single_family,2499000,1.0,2,4,Cupertino,95014,CA,Santa Clara,7495.0,3660.0
81,M2356073568,single_family,1648000,0.0,3,4,San Jose,95148,CA,Santa Clara,7257.0,1140.0
82,M2190784592,single_family,899000,0.0,2,4,San Jose,95123,CA,Santa Clara,7249.0,1002.0
83,M2664353891,single_family,1238000,0.0,2,4,San Jose,95132,CA,Santa Clara,6683.0,1700.0
84,M2433935357,single_family,1400000,1.0,3,4,Morgan Hill,95037,CA,Santa Clara,10145.0,3100.0
85,M1309393264,single_family,1249000,0.0,2,3,San Jose,95118,CA,Santa Clara,6890.0,1670.0
86,M1569990484,single_family,1825000,1.0,2,3,Mountain View,94043,CA,Santa Clara,4180.0,3535.0
87,M1621520294,single_family,1199000,0.0,2,4,Campbell,95008,CA,Santa Clara,8573.0,1960.0
88,M1108181936,single_family,2299000,0.0,2,3,Saratoga,95070,CA,Santa Clara,59403.0,2046.0
89,M2689186398,single_family,1400000,0.0,2,4,Sunnyvale,94085,CA,Santa Clara,4931.0,1796.0
90,M1255411360,single_family,1165000,0.0,2,3,San Jose,95124,CA,Santa Clara,7040.0,2720.0
91,M2106228168,single_family,1148000,1.0,2,4,San Jose,95136,CA,Santa Clara,6144.0,1159.0
92,M2036014852,single_family,1499000,0.0,2,4,Santa Clara,95050,CA,Santa Clara,6990.0,1506.0
93,M2349513447,single_family,899000,0.0,2,4,Newark,94560,CA,Alameda,6466.0,1725.0
94,M1291232246,single_family,1799000,0.0,3,4,Campbell,95008,CA,Santa Clara,13787.0,2355.0
95,M1587128079,single_family,1125000,0.0,2,3,Menlo Park,94025,CA,San Mateo,5750.0,1064.0
96,M1249211916,single_family,1179000,0.0,3,5,San Jose,95136,CA,Santa Clara,6439.0,2549.0
97,M1473985802,single_family,3149900,1.0,5,6,Fremont,94539,CA,Alameda,8966.0,1050.0
98,M2311244473,single_family,1250000,0.0,2,3,Fremont,94536,CA,Alameda,6000.0,1189.0
99,M1698180588,single_family,1098000,0.0,1,3,East Palo Alto,94303,CA,San Mateo,5936.0,1602.0
100,M1980325013,single_family,1050000,0.0,2,3,Milpitas,95035,CA,Santa Clara,5586.0,2564.0
101,M2407938221,single_family,879000,0.0,1,3,Fremont,94538,CA,Alameda,5000.0,7475.0
102,M1312985316,single_family,1199000,0.0,2,4,San Jose,95118,CA,Santa Clara,7706.0,3492.0
103,M1333753818,single_family,849000,0.0,3,3,San Jose,95116,CA,Santa Clara,7677.0,1195.0
104,M2295814539,single_family,1645000,1.0,2,4,San Jose,95148,CA,Santa Clara,10502.0,1337.0
105,M2343664009,single_family,999000,1.0,1,3,San Jose,95125,CA,Santa Clara,5700.0,2753.0
106,M1977069486,single_family,749000,0.0,1,2,San Jose,95111,CA,Santa Clara,11779.0,800.0
107,M1410781390,single_family,1179000,1.0,2,3,Campbell,95008,CA,Santa Clara,3432.0,832.0
108,M1823844526,single_family,1125900,0.0,3,5,San Jose,95127,CA,Santa Clara,4833.0,1552.0
109,M2387045509,single_family,4995000,0.0,4,6,Palo Alto,94301,CA,Santa Clara,9998.0,1060.0
110,M2930185248,single_family,1899000,0.0,2,5,Sunnyvale,94086,CA,Santa Clara,7345.0,2209.0
111,M1400924716,single_family,1629000,0.0,3,3,San Jose,95124,CA,Santa Clara,6641.0,3645.0
112,M2160974956,single_family,688888,0.0,1,2,East Palo Alto,94303,CA,San Mateo,6000.0,1700.0
113,M1919485381,single_family,1100000,1.0,2,4,San Jose,95136,CA,Santa Clara,4186.0,3700.0
114,M1139936800,single_family,799000,0.0,2,4,San Jose,95111,CA,Santa Clara,5700.0,1531.0
115,M1993266842,single_family,6395000,1.0,4,5,Atherton,94027,CA,San Mateo,30401.0,5083.0
116,M2632921031,single_family,1899000,0.0,2,3,San Jose,95129,CA,Santa Clara,6734.0,5015.0
117,M2000861696,single_family,5695000,1.0,4,5,Los Altos,94024,CA,Santa Clara,36194.0,1952.0
118,M1828588673,single_family,1665000,1.0,2,4,San Jose,95125,CA,Santa Clara,8800.0,2825.0
119,M1055531366,single_family,1799800,0.0,3,4,San Jose,95135,CA,Santa Clara,13382.0,3190.0
120,M2146707205,single_family,1998000,0.0,2,4,San Jose,95129,CA,Santa Clara,5918.0,1079.0
121,M1720791599,single_family,949888,0.0,3,4,San Jose,95111,CA,Santa Clara,5287.0,1175.0
122,M2148956551,single_family,2099000,0.0,2,3,Cupertino,95014,CA,Santa Clara,6435.0,1475.0
123,M2979889792,single_family,2695000,1.0,2,3,Los Gatos,95030,CA,Santa Clara,6582.0,830.0
124,M1528988959,single_family,2489000,0.0,2,3,Monte Sereno,95030,CA,Santa Clara,8205.0,1451.0
125,M1529722814,single_family,1400000,1.0,2,4,San Jose,95118,CA,Santa Clara,7480.0,2837.0
126,M1301293959,single_family,1979000,1.0,5,4,San Jose,95140,CA,Santa Clara,75842.0,1012.0
127,M2063916802,single_family,1379000,0.0,3,4,San Jose,95128,CA,Santa Clara,6668.0,1492.0
128,M1643746449,single_family,2799000,1.0,2,4,San Jose,95125,CA,Santa Clara,5880.0,1962.0
129,M2555480476,single_family,1050000,0.0,2,3,San Jose,95125,CA,Santa Clara,5054.0,2336.0
130,M2766247842,single_family,1150000,1.0,2,3,Milpitas,95035,CA,Santa Clara,2127.0,1829.0
131,M2127388926,single_family,1679000,0.0,2,3,San Jose,95125,CA,Santa Clara,6135.0,1378.0
132,M2923659765,single_family,998000,0.0,3,3,San Jose,95136,CA,Santa Clara,2276.0,1903.0
