,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
70,M2417849066,condo,1168000,0.0,2.0,3,San Francisco,94109,CA,San Francisco,1471
71,M1776269856,condo,599000,0.0,1.0,1,San Francisco,94110,CA,San Francisco,471
72,M1659808926,condo,1318000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1142
73,M1024680148,condo,449000,0.0,1.0,1,Oakland,94610,CA,Alameda,622
74,M2935314008,condo,1350000,0.0,2.0,3,San Francisco,94121,CA,San Francisco,1518
75,M2845356407,condo,449000,0.0,1.0,1,Oakland,94609,CA,Alameda,707
76,M1240255554,condo,329409,0.0,1.0,1,San Francisco,94158,CA,San Francisco,609
77,M1084650038,condo,1795000,1.0,2.0,3,San Francisco,94115,CA,San Francisco,1550
78,M1532709102,condo,1475000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1309
79,M1263830987,condo,1190000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,954
80,M2305696922,condo,579000,0.0,2.0,2,Oakland,94606,CA,Alameda,1054
81,M2909928806,condo,975000,0.0,2.0,3,Oakland,94612,CA,Alameda,1774
82,M2911012025,condo,685000,0.0,2.0,2,Oakland,94610,CA,Alameda,1127
83,M2792898309,condo,2999000,0.0,3.0,5,San Francisco,94110,CA,San Francisco,2755
84,M1750542721,condo,1200000,0.0,1.0,2,San Francisco,94121,CA,San Francisco,1147
85,M2915192783,condo,345000,0.0,1.0,0,Oakland,94610,CA,Alameda,496
86,M1911435387,condo,2195000,1.0,2.0,3,San Francisco,94114,CA,San Francisco,1985
87,M2477131139,condo,499000,0.0,1.0,1,Oakland,94611,CA,Alameda,659
88,M9967090467,condo,1853000,0.0,2.0,2,San Francisco,94107,CA,San Francisco,1024
89,M9996813082,condo,737000,0.0,1.0,0,San Francisco,94107,CA,San Francisco,467
90,M1746101593,condo,374999,0.0,1.0,1,Oakland,94606,CA,Alameda,663
91,M1550811025,condo,1450000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1245
92,M2584449715,condo,649888,0.0,1.0,1,San Francisco,94124,CA,San Francisco,790
