,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
45,M2232361277,single_family,1995000,0.0,3.0,3,Santa Barbara,119 W Pedregosa St,93101,CA,Santa Barbara,2492.0,6543.0
46,M2275870228,single_family,869900,0.0,1.0,2,Santa Barbara,1006 E Haley St,93103,CA,Santa Barbara,2353.0,12632.0
47,M2927990104,single_family,1165000,0.0,2.0,2,Santa Barbara,645 Circle Dr,93108,CA,Santa Barbara,495.0,33977.0
48,M2300812516,single_family,25000000,0.0,4.0,3,Montecito,1150 Channel Dr,93108,CA,Santa Barbara,5946.0,108900.0
49,M1535253184,single_family,1270000,1.0,2.0,3,Santa Barbara,1246 Bel Air Dr,93105,CA,Santa Barbara,2196.0,8276.0
50,M2856235495,single_family,4995000,1.0,3.0,3,Santa Barbara,582 Freehaven Dr,93108,CA,Santa Barbara,1448.0,4791.0
51,M9540802522,single_family,1325000,0.0,3.0,3,Summerland,2237 Banner Ave,93067,CA,Santa Barbara,1357.0,7841.0
52,M2921408553,single_family,1475000,1.0,2.0,3,Santa Barbara,70 Skyline Cir,93109,CA,Santa Barbara,2702.0,6970.0
53,M1977238635,single_family,2395000,0.0,4.0,5,Santa Barbara,665 Coyote Rd,93108,CA,Santa Barbara,2506.0,11326.0
54,M2322209616,single_family,1845000,1.0,2.0,3,Santa Barbara,116 W Los Olivos St Unit D,93105,CA,Santa Barbara,1582.0,18731.0
55,M2208989234,single_family,4495000,1.0,4.0,3,Santa Barbara,499 Crocker Sperry Dr,93108,CA,Santa Barbara,9285.0,108029.0
56,M1257093891,single_family,2195000,0.0,3.0,4,Montecito,134 Santa Elena Ln,93108,CA,Santa Barbara,3487.0,50530.0
57,M1479359345,single_family,1495000,1.0,3.0,3,Santa Barbara,955 Cheltenham Rd,93105,CA,Santa Barbara,5227.0,49658.0
58,M1147718350,single_family,2900000,0.0,4.0,4,Montecito,483 Hot Springs Rd,93108,CA,Santa Barbara,8572.0,455202.0
59,M1331003628,single_family,1895000,1.0,2.0,4,Santa Barbara,1568 LA Cresta Cir,93109,CA,Santa Barbara,4767.0,21780.0
60,M2820050264,single_family,799000,0.0,,1,Santa Barbara,1035 Coyote Rd,93108,CA,Santa Barbara,1543.0,7405.0
61,M1953009474,single_family,4250000,1.0,4.0,6,Santa Barbara,575 Braemar Ranch Ln,93109,CA,Santa Barbara,3272.0,42689.0
62,M1085495599,single_family,1625000,0.0,2.0,3,Santa Barbara,218 E Pedregosa St,93101,CA,Santa Barbara,384.0,1306.0
63,M1619187459,single_family,1300000,0.0,2.0,2,Santa Barbara,2924 Ventura Dr,93105,CA,Santa Barbara,1344.0,6098.0
64,M1239690696,single_family,999000,0.0,2.0,4,Santa Barbara,838 Meigs Rd,93109,CA,Santa Barbara,1051.0,9147.0
65,M1459505002,single_family,1095000,0.0,3.0,5,Carpinteria,1329 Post Ave,93013,CA,Santa Barbara,3889.0,29185.0
66,M1482854120,single_family,1650000,0.0,2.0,3,Montecito,605 Romero Canyon Rd,93108,CA,Santa Barbara,1882.0,7841.0
67,M9065282512,single_family,1799900,0.0,3.0,6,Santa Barbara,1518 1/2 San Miguel Ave,93109,CA,Santa Barbara,3484.0,45738.0
68,M1454308408,single_family,3250000,0.0,3.0,2,Montecito,2158 Birnam Wood Dr,93108,CA,Santa Barbara,1590.0,7405.0
69,M2260714362,single_family,1299000,0.0,3.0,3,Santa Barbara,610 Foxen Dr,93105,CA,Santa Barbara,2150.0,43560.0
70,M2901290019,single_family,12950000,4.0,7.0,8,Montecito,1569 E Valley Rd,93108,CA,Santa Barbara,3190.0,87556.0
71,M2634953477,single_family,4250000,1.0,3.0,5,Santa Barbara,4002 Cuervo Ave,93110,CA,Santa Barbara,3546.0,16117.0
