,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
83,M2487545669,single_family,335000,0.0,2,3,Clovis,3986 Pontiac Ave,93619,CA,Fresno,2050.0,5794.0
84,M2274253423,single_family,360000,0.0,3,5,Fresno,4584 W Ellery Ave,93722,CA,Fresno,1362.0,7500.0
85,M2473161015,single_family,429900,0.0,2,3,Clovis,2519 LA Canada Ave,93619,CA,Fresno,3550.0,5850.0
86,M1310189358,single_family,310600,0.0,2,3,Fresno,7347 E Andrews Ave,93737,CA,Fresno,1764.0,6000.0
87,M2185200415,single_family,899000,0.0,4,4,Fresno,10764 N Backer Ave,93730,CA,Fresno,1218.0,7200.0
88,M2045043360,single_family,205000,0.0,2,3,Fresno,3221 N Claremont Ave,93727,CA,Fresno,3331.0,87556.0
89,M1399057107,single_family,410000,0.0,3,5,Fresno,7046 E Redlands Ave,93737,CA,Fresno,3024.0,4500.0
90,M9625592456,single_family,356661,0.0,2,4,Fresno,6966 E Braly Ave,93727,CA,Fresno,1784.0,6012.0
91,M2762036944,single_family,215000,0.0,2,3,Sanger,611 P St,93657,CA,Fresno,1086.0,6500.0
92,M2957958525,single_family,229900,0.0,2,4,Fresno,4747 E Thomas Ave,93702,CA,Fresno,2008.0,6000.0
93,M9154585444,single_family,462427,2.0,2,3,Clovis,2612 Vermont Ave,93619,CA,Fresno,1425.0,8400.0
94,M2368335925,single_family,385034,2.0,2,3,Fresno,1442 E Via Dorata Way,93730,CA,Fresno,3564.0,10454.0
95,M9799410148,single_family,652399,0.0,3,4,Fresno,11275 N Via San Toma Dr,93730,CA,Fresno,1301.0,2940.0
96,M9609598760,single_family,382935,0.0,2,3,Fresno,2861 N Douglas Ave,93727,CA,Fresno,3280.0,10019.0
97,M2362634235,single_family,656590,0.0,3,4,Clovis,3945 Ramona Ave,93619,CA,Fresno,4985.0,13504.0
98,M2353914005,single_family,391297,0.0,2,3,Clovis,4234 Fairmont Ave,93619,CA,Fresno,1790.0,5200.0
99,M2425763601,single_family,229900,0.0,1,3,Fresno,1006 W Vassar Ave,93705,CA,Fresno,1635.0,
100,M2327116645,single_family,734900,1.0,3,5,Sanger,12922 E Eagles Nest Ct,93657,CA,Fresno,2335.0,
101,M2427771097,single_family,479990,0.0,4,5,Clovis,3564 Cordova Ave,93619,CA,Fresno,1852.0,
102,M2353317750,single_family,382060,1.0,2,3,Clovis,4217 Sierra Madre Ave,93619,CA,Fresno,1557.0,
103,M1913729551,single_family,215000,0.0,1,3,Fresno,4027 N Hulbert Ave,93705,CA,Fresno,2517.0,
104,M2913062572,single_family,318000,0.0,3,4,Fresno,5536 E Erin Ave,93727,CA,Fresno,1694.0,
105,M2554279314,single_family,235000,0.0,2,3,Sanger,2112 Webster St,93657,CA,Fresno,2908.0,
106,M1910586678,single_family,799000,1.0,4,5,Fresno,3463 W Palo Alto Ave,93711,CA,Fresno,1895.0,
107,M1423794050,single_family,350000,0.0,2,3,Fresno,11336 N Cherry Sage Ave,93730,CA,Fresno,1700.0,7085.0
108,M2337044764,single_family,564900,0.0,3,5,Fresno,2114 E Omaha Ave,93720,CA,Fresno,1847.0,12632.0
109,M1772297777,single_family,1475000,0.0,4,5,Fresno,1558 Shadow Creek Dr E,93730,CA,Fresno,4049.0,12596.0
110,M2445919611,single_family,315000,1.0,2,4,Fresno,6829 E Geary St,93727,CA,Fresno,1649.0,10890.0
111,P417000450355,single_family,314950,0.0,2,3,Fresno,6038 E. Fedora Ave.,93727,CA,Fresno,2148.0,8710.0
112,P417000450585,single_family,348950,1.0,2,3,Fresno,"6076 E. Brown Ave., Fresno, CA",93727,CA,Fresno,2223.0,6200.0
113,P417000449120,single_family,361900,1.0,2,3,Madera,Redrock Dr. & Cordon Dr.,93636,CA,Madera,2876.0,12632.0
114,P415468457298,single_family,298000,0.0,2,3,Fresno,829 S. Bridle Ave.,93727,CA,Fresno,2496.0,409028.0
115,P415406665469,single_family,421990,0.0,4,5,Madera,4528 Orchard Hills Road,93636,CA,Madera,1499.0,14375.0
116,P412915817530,single_family,308800,0.0,2,3,Fowler,East South Avenue & Sunnyside Avenue,93625,CA,Fresno,3038.0,8505.0
117,P413672042952,single_family,410028,1.0,3,5,Fresno,5551 North Salinas Avenue,93711,CA,Fresno,2654.0,6120.0
118,P412031646114,single_family,374990,0.0,2,3,Clovis,3833 Keats Avenue,93619,CA,Fresno,1872.0,7350.0
119,M1786818930,single_family,364900,0.0,2,3,Fresno,2889 E Jon Dr,93720,CA,Fresno,1206.0,7000.0
120,M2789676901,single_family,349000,0.0,2,3,Fresno,1512 W Ellery Way,93711,CA,Fresno,1466.0,7480.0
121,M1543838840,single_family,1750000,0.0,3,4,Fresno,11362 N Glencastle Way,93730,CA,Fresno,2256.0,8750.0
122,M2287684906,single_family,375000,0.0,2,3,Clovis,896 Greenfield Ave,93611,CA,Fresno,1607.0,6901.0
123,M2234167863,single_family,375000,1.0,2,4,Fresno,7404 W San Ramon Ave,93723,CA,Fresno,1620.0,4816.0
124,M1816241845,single_family,259900,0.0,2,3,Clovis,995 W Euclid Ave,93612,CA,Fresno,1513.0,4000.0
125,M2905159591,single_family,354999,0.0,2,4,Fresno,7374 W San Madele Ave,93723,CA,Fresno,2278.0,7150.0
126,M2630709866,single_family,619900,0.0,3,4,Clovis,1451 N Harvard Ave,93619,CA,Fresno,2101.0,10454.0
127,M1695709266,single_family,775000,1.0,2,5,Clovis,5328 E Copper Ave,93619,CA,Fresno,2600.0,6480.0
128,M1612583469,single_family,219000,0.0,2,3,Fresno,2839 E San Gabriel Ave,93726,CA,Fresno,1379.0,4380.0
129,M2571573860,single_family,479900,1.0,3,6,Clovis,2321 Magill Ave,93611,CA,Fresno,1684.0,6000.0
130,M9159949692,single_family,470010,0.0,3,4,Fresno,2788 N Douglas Ave,93727,CA,Fresno,1373.0,7800.0
131,M2269940174,single_family,315000,0.0,3,6,Fresno,2671 N Cecelia Ave,93722,CA,Fresno,1592.0,1875.0
132,M2560068680,single_family,324900,0.0,2,4,Kerman,741 S Lum Ave,93630,CA,Fresno,1652.0,14810.0
133,M1137927159,single_family,265000,0.0,2,3,Fresno,3360 W Morris Ave,93711,CA,Fresno,2366.0,
134,M1791683589,single_family,265000,0.0,2,3,Clovis,919 W Pico Ave,93612,CA,Fresno,1450.0,
135,M1820635220,single_family,444900,0.0,3,4,Clovis,3711 Serena Ave,93619,CA,Fresno,2032.0,
136,M2214263479,single_family,279900,0.0,2,3,Kerman,15887 W Middleton Ave,93630,CA,Fresno,2180.0,
137,M2694809184,single_family,305000,0.0,2,4,Fresno,2328 S Eddy Ave,93727,CA,Fresno,2031.0,10200.0
138,M2506530270,single_family,305000,0.0,2,3,Fresno,2344 E Fir Ave,93720,CA,Fresno,1271.0,7000.0
139,M2244562067,single_family,225000,0.0,2,3,Fresno,2534 N Brunswick Ave,93722,CA,Fresno,1103.0,5250.0
140,M9635250012,single_family,532744,1.0,2,3,Clovis,1740 N Hornet Ave,93619,CA,Fresno,1482.0,6825.0
141,M2995235840,single_family,325000,0.0,2,3,Fresno,6346 N 9th St,93710,CA,Fresno,2630.0,
142,M9880730193,single_family,559531,0.0,3,3,Clovis,2864 Deauville Ave,93619,CA,Fresno,3113.0,
143,M1418874945,single_family,318000,0.0,2,3,Clovis,3140 Holland Ave,93619,CA,Fresno,1972.0,
144,M2310190541,single_family,349000,0.0,2,3,Fresno,7607 N State St,93722,CA,Fresno,2430.0,
145,M1815671483,single_family,224900,0.0,2,3,Fresno,4885 E Atchison Ave,93725,CA,Fresno,3307.0,
146,M2801341141,single_family,255000,0.0,2,2,Fresno,1786 W Calimyrna Ave Unit 1B,93711,CA,Fresno,3312.0,8250.0
147,M1532536225,single_family,375000,0.0,2,3,Fresno,1149 W Santa Ana Ave,93705,CA,Fresno,1028.0,6250.0
148,P417000447722,single_family,349950,1.0,2,4,Fresno,"6076 E. Brown Ave., Fresno, CA",93727,CA,Fresno,2576.0,14375.0
149,P417000447863,single_family,305950,0.0,2,2,Fresno,6038 E. Fedora Ave.,93727,CA,Fresno,1104.0,6000.0
150,P417000447723,single_family,462427,1.0,2,4,Clovis,,93619,CA,Madera,1742.0,6800.0
151,P417000446718,single_family,404900,0.0,3,4,Clovis,3464 Las Rosas Avenue,93619,CA,Fresno,1614.0,7350.0
152,M2603533518,single_family,399900,0.0,2,3,Fresno,6670 N Valentine Ave,93711,CA,Fresno,2185.0,8436.0
153,M2173759925,single_family,290000,0.0,2,3,Clovis,1716 Pico Ave,93611,CA,Fresno,1029.0,4500.0
154,M2552903623,single_family,237500,0.0,2,3,Fresno,4383 W Cardiff Ave,93722,CA,Fresno,1740.0,6656.0
155,M2272749641,single_family,199000,0.0,3,5,Fresno,2804 N Hughes Ave,93705,CA,Fresno,1922.0,8100.0
156,M1200671634,single_family,214500,1.0,1,3,Fresno,4658 E Iowa Ave,93702,CA,Fresno,2830.0,14810.0
157,P415965746556,single_family,397130,1.0,3,4,Fresno,5551 North Salinas Avenue,93711,CA,Fresno,1736.0,7405.0
158,P414878208966,single_family,506900,1.0,2,3,Madera,"819 Treasure Hills Drive, Hillside Village at Tesoro Viejo",93636,CA,Madera,1628.0,7345.0
159,P413878803427,single_family,335800,0.0,2,4,Fowler,East South Avenue & Sunnyside Avenue,93625,CA,Fresno,1248.0,6500.0
160,P413073845380,single_family,411136,0.0,3,4,Madera,4528 Orchard Hills Road,93636,CA,Madera,1753.0,3150.0
161,P411864444920,single_family,580900,1.0,2,2,Madera,"819 Treasure Hills Drive, Hillside Village at Tesoro Viejo",93636,CA,Madera,3331.0,17424.0
162,M2824732780,single_family,325000,0.0,2,4,Fresno,1133 N College Ave,93728,CA,Fresno,2522.0,
163,M2252462447,single_family,230000,0.0,2,3,Fresno,4422 W Brown Ave,93722,CA,Fresno,2600.0,
164,M2410074639,single_family,159900,0.0,1,3,Fresno,1226 E Terrace Ave,93704,CA,Fresno,2359.0,
165,M2568391734,single_family,499000,0.0,3,4,Fresno,2530 W Palo Alto Ave,93711,CA,Fresno,2163.0,
166,M9515123351,single_family,361000,0.0,3,5,Fresno,2046 N Vahe Ave,93727,CA,Fresno,2531.0,
167,M1379857658,single_family,179999,0.0,2,3,Fresno,4218 N Kavanagh Ave,93705,CA,Fresno,2033.0,4200.0
168,M1457843903,single_family,220000,1.0,1,5,Fresno,3144 E Montecito Ave,93702,CA,Fresno,2491.0,8050.0
169,M9585951722,single_family,326000,0.0,2,4,Fresno,2094 N Vahe Ave,93727,CA,Fresno,2316.0,5141.0
170,M2182554687,single_family,258500,0.0,2,4,Clovis,2975 Homsy Ave,93612,CA,Fresno,2316.0,5684.0
