,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
22,M9574346982,condo,429990,1.0,2.0,3,Riverside,7876 Cold Creek St,92507,CA,Riverside,1801.0
23,M2725669236,condo,339995,1.0,2.0,2,Riverside,13054 Avenida Pescador,92503,CA,Riverside,1300.0
24,M1259753377,condo,289000,0.0,2.0,3,Riverside,4282 Kingsbury Pl,92503,CA,Riverside,912.0
25,M1210365517,condo,179000,0.0,1.0,1,Riverside,3535 Banbury Dr Apt 14,92505,CA,Riverside,685.0
26,M2964500945,condo,259900,0.0,2.0,2,Riverside,200 E Alessandro Blvd Unit 102,92508,CA,Riverside,930.0
27,M2975009941,condo,299900,0.0,2.0,2,Riverside,375 Central Ave Unit 177,92507,CA,Riverside,1121.0
28,M1425176896,condo,236998,1.0,1.0,3,Riverside,1139 Clark St,92501,CA,Riverside,1150.0
29,M2600842850,condo,204900,0.0,1.0,2,Riverside,6979 Palm Ct Apt 146N,92506,CA,Riverside,1026.0
30,M1403786245,condo,239900,1.0,1.0,3,Riverside,1167 Clark St,92501,CA,Riverside,1150.0
31,M9074258322,condo,414672,1.0,2.0,3,Riverside,20065 Cold Canyon Ct,92507,CA,Riverside,1498.0
32,M2342335366,condo,259900,1.0,1.0,2,Riverside,3511 Polk St,92505,CA,Riverside,1074.0
33,M1937371382,condo,260000,0.0,2.0,2,Riverside,9505 Arlington Ave Apt 31,92503,CA,Riverside,770.0
34,M1427848672,condo,235000,1.0,1.0,2,Riverside,2532 Bryn Mawr Ln,92507,CA,Riverside,1024.0
35,M2216334781,condo,340000,1.0,2.0,3,Riverside,3944 Polk St Unit B,92505,CA,Riverside,1481.0
36,M2734575796,condo,319000,1.0,2.0,3,Riverside,13026 Via Salvia,92503,CA,Riverside,1525.0
37,M1628935697,condo,238888,0.0,2.0,2,Riverside,1000 Central Ave Unit 32,92507,CA,Riverside,1025.0
38,M1178166857,condo,390000,0.0,2.0,2,Riverside,2974 Hyde Park Cir,92506,CA,Riverside,1405.0
39,M1566887903,condo,455000,0.0,2.0,3,Riverside,550 Via Zapata,92507,CA,Riverside,2065.0
40,M2785208840,condo,238500,0.0,1.0,4,Riverside,3707 Pioneer Dr,92509,CA,Riverside,1474.0
41,M1032009830,condo,310000,0.0,2.0,2,Riverside,9042 Chaucer Cir,92503,CA,Riverside,1005.0
42,M2957271352,condo,399900,1.0,2.0,4,Riverside,4421 Watermoor Dr,92505,CA,Riverside,1741.0
43,M1145080356,condo,409999,1.0,2.0,4,Riverside,11503 Park Trails St,92505,CA,Riverside,1794.0
44,M2629380521,condo,157000,0.0,1.0,1,Riverside,1317 Massachusetts Ave Apt 102,92507,CA,Riverside,604.0
45,M1886044897,condo,336000,0.0,2.0,3,Riverside,9065 Paddington Dr,92503,CA,Riverside,1240.0
46,M2129640043,condo,410000,1.0,2.0,3,Riverside,11338 Riverleaf Dr,92505,CA,Riverside,1532.0
47,M2629164966,condo,199900,0.0,1.0,2,Riverside,6979 Palm Ct Apt 102P,92506,CA,Riverside,913.0
48,M2964426413,condo,275000,0.0,2.0,2,Riverside,200 E Alessandro Blvd Unit 118,92508,CA,Riverside,1068.0
49,M1886343024,condo,339000,0.0,2.0,4,Riverside,2772 Tropicana Dr,92504,CA,Riverside,1520.0
50,M2628829572,condo,180000,0.0,1.0,1,Riverside,6979 Palm Ct Apt 125H,92506,CA,Riverside,763.0
51,M1609337143,condo,156500,0.0,1.0,1,Riverside,1311 Massachusetts Ave Apt 101,92507,CA,Riverside,604.0
52,M1537794574,condo,299999,0.0,2.0,2,Riverside,2053 Roberta St,92507,CA,Riverside,1170.0
53,M1166353553,condo,379000,0.0,2.0,4,Riverside,6643 Wintertree Dr,92506,CA,Riverside,1806.0
54,M2354339035,condo,425000,1.0,2.0,4,Riverside,11563 Park Trails St,92505,CA,Riverside,1794.0
55,M2129983537,condo,350000,1.0,2.0,3,Riverside,8232 Casa Colima Way,92504,CA,Riverside,1969.0
56,M1319218449,condo,406000,1.0,2.0,2,Riverside,5865 Fairlane Dr,92506,CA,Riverside,1732.0
57,M1416331232,condo,294900,0.0,2.0,2,Riverside,375 Central Ave Unit 178,92507,CA,Riverside,1121.0
58,M2390364807,condo,349900,0.0,2.0,2,Riverside,5570 Apple Orchard Ln,92506,CA,Riverside,1280.0
59,M1608178567,condo,240000,0.0,1.0,1,Riverside,1040 Central Ave Unit 9,92507,CA,Riverside,861.0
60,M1163633139,condo,549000,0.0,2.0,2,Riverside,6231 Tecate Dr,92506,CA,Riverside,2190.0
61,M1326671638,condo,399800,1.0,2.0,3,Riverside,6582 Le Blan Way,92506,CA,Riverside,2188.0
62,M1292584673,condo,292000,0.0,2.0,3,Riverside,4262 Kingsbury Pl,92503,CA,Riverside,912.0
63,M2627078073,condo,220000,0.0,2.0,2,Riverside,6979 Palm Ct Apt 110,92506,CA,Riverside,1165.0
64,M2584147707,condo,239000,0.0,2.0,3,Riverside,6979 Palm Ct Apt 236K,92506,CA,Riverside,1234.0
65,M1014755026,condo,310000,0.0,2.0,3,Riverside,6025 Avenue Juan Diaz,92509,CA,Riverside,1363.0
66,M1424047545,condo,230000,0.0,2.0,3,Riverside,2367 Gonzaga Ln,92507,CA,Riverside,1085.0
67,M1151447176,condo,569500,0.0,2.0,2,Riverside,6272 Tecate Dr,92506,CA,Riverside,2500.0
68,M1634227461,condo,259999,0.0,2.0,2,Riverside,1000 Central Ave Unit 10,92507,CA,Riverside,1280.0
69,M1512863659,condo,510000,0.0,3.0,4,Riverside,2790 Lime St,92501,CA,Riverside,2188.0
0,M1810670691,condo,1175000,1.0,2.0,3,Santa Barbara,3734 State St Unit 111,93105,CA,Santa Barbara,2016.0
1,M1980681623,condo,690000,1.0,1.0,2,Santa Barbara,5305 Traci Dr,93111,CA,Santa Barbara,1154.0
2,M2202362193,condo,639000,1.0,1.0,1,Santa Barbara,2525 State St Apt 25,93105,CA,Santa Barbara,1352.0
3,M1149058150,condo,925000,1.0,2.0,2,Santa Barbara,4004 Via Lucero Apt 13,93110,CA,Santa Barbara,2010.0
4,M2058430239,condo,990000,0.0,2.0,1,Santa Barbara,105 W De La Guerra St Unit D,93101,CA,Santa Barbara,1116.0
5,M1628414157,condo,1435000,1.0,2.0,2,Santa Barbara,743 E Anapamu St,93103,CA,Santa Barbara,1767.0
6,M1061186832,condo,639000,0.0,2.0,2,Santa Barbara,1701 Anacapa St Unit 3,93101,CA,Santa Barbara,1242.0
7,M2091170403,condo,627500,0.0,2.0,3,Santa Barbara,3663 San Remo Dr Apt 2D,93105,CA,Santa Barbara,1268.0
8,M9409651885,condo,1297000,0.0,2.0,2,Santa Barbara,3736 State St Unit 220,93105,CA,Santa Barbara,1459.0
9,M1135830515,condo,725000,1.0,2.0,2,Santa Barbara,417 Via Rosa Unit 12,93110,CA,Santa Barbara,1192.0
10,M1487176969,condo,787700,0.0,2.0,3,Santa Barbara,1930 N Jameson Ln Unit A,93108,CA,Santa Barbara,1258.0
11,M1256274041,condo,749500,1.0,2.0,3,Santa Barbara,1026 E De La Guerra St Apt C,93103,CA,Santa Barbara,1376.0
12,M1052328910,condo,1425000,1.0,2.0,3,Santa Barbara,1044 Fairway Rd,93108,CA,Santa Barbara,1588.0
13,M2101700585,condo,740000,0.0,2.0,2,Santa Barbara,25 LA Cumbre Cir,93105,CA,Santa Barbara,1079.0
14,M2499334488,condo,639000,1.0,1.0,2,Santa Barbara,5095 Rhoads Ave Apt C,93111,CA,Santa Barbara,1260.0
15,M9757665302,condo,869000,0.0,2.0,2,Santa Barbara,5463 Tree Farm Ln,93111,CA,Santa Barbara,1758.0
