,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
139,M1709292778,single_family,1598000,0.0,3,4,Oakland,94609,CA,Alameda,4160,1733
140,M1750323345,single_family,1845000,0.0,2,3,San Francisco,94127,CA,San Francisco,4460,2249
141,M1599473959,single_family,1295000,0.0,1,2,San Francisco,94134,CA,San Francisco,2060,1595
142,M2824084616,single_family,1098000,0.0,1,2,San Francisco,94112,CA,San Francisco,2822,1200
143,M2988110860,single_family,1475000,0.0,4,5,Oakland,94602,CA,Alameda,5200,2731
144,M1511037964,single_family,1199000,0.0,3,4,Oakland,94608,CA,Alameda,2550,2266
145,M2114697594,single_family,599999,0.0,1,3,Oakland,94605,CA,Alameda,9148,1258
146,M2761645728,single_family,650000,0.0,1,2,Oakland,94602,CA,Alameda,5600,1240
147,M2999655844,single_family,1675000,1.0,1,3,San Francisco,94131,CA,San Francisco,2556,1242
148,M2108552627,single_family,1088000,0.0,3,4,San Francisco,94112,CA,San Francisco,2700,1600
149,M2961682734,single_family,1295000,0.0,3,3,Oakland,94608,CA,Alameda,3554,1947
150,M9659313324,single_family,1395000,1.0,2,4,Oakland,94608,CA,Alameda,2810,2026
151,M1947087522,single_family,1595000,1.0,2,3,San Francisco,94131,CA,San Francisco,1873,1746
152,M2655340515,single_family,848000,0.0,2,4,Berkeley,94702,CA,Alameda,3675,1517
153,M2963487061,single_family,1950000,0.0,2,3,San Francisco,94121,CA,San Francisco,2500,2200
154,M2839568814,single_family,699000,0.0,1,2,Oakland,94602,CA,Alameda,2800,1038
155,M2375849157,single_family,998000,0.0,1,2,Brisbane,94005,CA,San Mateo,7200,970
156,M2219407434,single_family,875000,0.0,1,2,San Francisco,94132,CA,San Francisco,2661,630
157,M2857052380,single_family,3100000,0.0,2,3,San Francisco,94133,CA,San Francisco,1408,1570
158,M2632088309,single_family,3675000,1.0,5,5,Oakland,94611,CA,Alameda,8577,6088
159,M9250980128,single_family,1786995,1.0,3,4,Daly City,94014,CA,San Mateo,2871,3028
160,M1220509558,single_family,2597000,1.0,3,3,Tiburon,94920,CA,Marin,4500,2406
161,M1895252980,single_family,695000,1.0,1,3,Alameda,94501,CA,Alameda,4920,1176
162,M1965135274,single_family,19950000,0.0,6,5,San Francisco,94115,CA,San Francisco,3830,7050
163,M2132273026,single_family,3595000,1.0,5,4,San Francisco,94109,CA,San Francisco,3300,3350
164,M2292542044,single_family,699000,0.0,1,3,Oakland,94602,CA,Alameda,2501,1019
165,M2575121523,single_family,1298000,1.0,2,3,Daly City,94015,CA,San Mateo,5301,1520
166,M2224140392,single_family,550000,0.0,2,3,Oakland,94601,CA,Alameda,4640,1592
167,M1092347641,single_family,1100000,0.0,1,2,San Francisco,94134,CA,San Francisco,2996,1043
168,M2815383217,single_family,699000,0.0,1,2,Oakland,94602,CA,Alameda,4500,1277
169,M1736161523,single_family,950000,0.0,2,3,Oakland,94608,CA,Alameda,4578,1481
170,M2194495350,single_family,550000,0.0,2,3,Oakland,94606,CA,Alameda,3500,1548
171,M1838468672,single_family,1450000,0.0,1,2,San Francisco,94116,CA,San Francisco,3698,1275
172,M1330433450,single_family,2895000,1.0,3,5,San Francisco,94122,CA,San Francisco,5784,2814
173,M1669556676,single_family,1588000,0.0,4,3,San Francisco,94112,CA,San Francisco,2500,2659
174,M2424687077,single_family,617000,0.0,1,2,Oakland,94602,CA,Alameda,2926,806
175,M1660999265,single_family,1600000,1.0,2,3,Alameda,94501,CA,Alameda,4800,3037
176,M1853042039,single_family,1825000,0.0,3,4,Oakland,94611,CA,Alameda,44528,2825
177,M1984014922,single_family,2395000,1.0,3,5,San Francisco,94121,CA,San Francisco,2374,2855
178,M1801402816,single_family,850000,0.0,2,3,Oakland,94619,CA,Alameda,4500,1840
179,M1003143582,single_family,1050000,0.0,1,2,Berkeley,94702,CA,Alameda,4050,1014
180,M2785063261,single_family,1299000,0.0,2,3,Berkeley,94702,CA,Alameda,3500,1568
181,M2633115492,single_family,800000,0.0,4,5,Oakland,94601,CA,Alameda,3894,2308
182,M2596296741,single_family,416000,0.0,1,2,Oakland,94601,CA,Alameda,2214,882
183,M1717860245,single_family,995000,0.0,1,3,San Francisco,94112,CA,San Francisco,3938,986
