,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
148,M1059372998,single_family,1395000,0.0,3.0,4,Studio City,4450 Elmer Ave,91602,CA,Los Angeles,1850.0,11341.0
149,M1160387670,single_family,1695000,1.0,2.0,3,Los Angeles,12478 Wagner St,90066,CA,Los Angeles,3412.0,5000.0
150,M2007218948,single_family,1999999,0.0,2.0,3,Los Angeles,13161 Psomas Way,90066,CA,Los Angeles,5550.0,18810.0
151,M1136581425,single_family,2849000,0.0,5.0,4,Los Angeles,1615 N Fairfax Ave,90046,CA,Los Angeles,1153.0,7578.0
152,M1044741848,single_family,6999000,1.0,6.0,5,Los Angeles,100 N Irving Blvd,90004,CA,Los Angeles,4065.0,6897.0
153,M1148732876,single_family,1245000,0.0,2.0,2,Los Angeles,2061 Nichols Canyon Rd,90046,CA,Los Angeles,911.0,3601.0
154,M1523479194,single_family,2495513,0.0,3.0,4,Los Angeles,3526 Holboro Dr,90027,CA,Los Angeles,2065.0,1344.0
155,M1936610656,single_family,599000,0.0,1.0,3,Torrance,1604 W 221st St,90501,CA,Los Angeles,1459.0,4685.0
156,M9787799709,single_family,879900,1.0,3.0,4,Los Angeles,289 W 8th St,90731,CA,Los Angeles,1394.0,1000.0
157,M2440504986,single_family,995000,0.0,2.0,1,Los Angeles,1729 Silverwood Ter,90026,CA,Los Angeles,4748.0,11116.0
158,M1286259854,single_family,925000,0.0,3.0,2,Los Angeles,5634 Observation Ln,90028,CA,Los Angeles,5286.0,29300.0
159,M2176293306,single_family,2095000,0.0,7.0,5,Encino,5170 Gloria Ave,91436,CA,Los Angeles,1714.0,5941.0
160,M2421630750,single_family,4798000,1.0,5.0,5,Beverly Hills,2925 Trudy Dr,90210,CA,Los Angeles,1398.0,4761.0
161,M2237348738,single_family,710000,0.0,2.0,4,Los Angeles,10425 Haas Ave,90047,CA,Los Angeles,660.0,3483.0
162,M2759481857,single_family,475000,0.0,2.0,3,Los Angeles,411 E 115th St,90061,CA,Los Angeles,2330.0,18743.0
163,M1217499913,single_family,685000,0.0,1.0,1,Los Angeles,427 Museum Dr,90065,CA,Los Angeles,2700.0,53263.0
164,M2145862775,single_family,2595000,0.0,3.0,4,Los Angeles,2418 Roscomare Rd,90077,CA,Los Angeles,1064.0,5200.0
165,M2775492395,single_family,2099000,1.0,4.0,4,Sherman Oaks,15041 Sherview Pl,91403,CA,Los Angeles,2073.0,6534.0
166,M2152708336,single_family,670000,0.0,2.0,2,Los Angeles,4512 S Gramercy Pl,90062,CA,Los Angeles,1978.0,1607.0
167,M2688278717,single_family,949500,0.0,4.0,4,North Hollywood,11465 Cumpston St,91601,CA,Los Angeles,2695.0,13101.0
168,M9082890240,single_family,990141,1.0,3.0,3,Highland Park,1118 N Avenue 56 Unit 6,90042,CA,Los Angeles,3327.0,4697.0
169,M1276331463,single_family,1600000,1.0,3.0,4,Los Angeles,2511 Mount Beacon Ter,90068,CA,Los Angeles,2467.0,2501.0
170,M2311129006,single_family,3797000,0.0,5.0,5,Pacific Palisades,757 Hartzell St,90272,CA,Los Angeles,7371.0,21306.0
171,M1131765742,single_family,3499000,1.0,3.0,3,Venice,651 Oxford Ave,90291,CA,Los Angeles,3060.0,5907.0
172,M2936063025,single_family,6495000,0.0,7.0,6,Los Angeles,10401 Wyton Dr,90024,CA,Los Angeles,1373.0,6802.0
173,M1303577942,single_family,4200000,0.0,4.0,4,Beverly Hills,1432 Harridge Dr,90210,CA,Los Angeles,7013.0,14744.0
174,M2788457091,single_family,1520000,0.0,3.0,3,Los Angeles,2625 Locksley Pl,90039,CA,Los Angeles,1753.0,6889.0
175,M1406691582,single_family,6795000,1.0,6.0,6,Beverly Hills,12000 Crest Ct,90210,CA,Los Angeles,3063.0,15095.0
176,M9501198503,single_family,619379,1.0,3.0,3,Northridge,18444 W Calico Ln,91325,CA,Los Angeles,6500.0,10297.0
