,index,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
48,48,M1502310091,condo,895000,1.0,2,3,Santa Barbara,2605 Hacienda Ct,93105,CA,Santa Barbara,1066.0
49,49,M2291338743,condo,599000,0.0,1,2,Santa Barbara,3578 Modoc Rd Unit 2,93105,CA,Santa Barbara,1076.0
50,50,M9276969836,condo,1060000,2.0,2,2,Santa Barbara,3736 State St Unit 109,93105,CA,Santa Barbara,2016.0
51,51,M1653093319,condo,949000,1.0,1,1,Santa Barbara,105 W De La Guerra St Unit E,93101,CA,Santa Barbara,1209.0
52,52,M2212630074,condo,1150000,1.0,2,2,Santa Barbara,643 Costa Del Mar Unit C,93103,CA,Santa Barbara,1340.0
53,53,M1810782489,condo,1150000,1.0,2,3,Santa Barbara,3734 State St Unit 113,93105,CA,Santa Barbara,1132.0
54,54,M2379070995,condo,910000,0.0,2,2,Santa Barbara,1220 Coast Village Rd Apt 201,93108,CA,Santa Barbara,2305.0
55,55,M2767202083,condo,555000,1.0,1,2,Santa Barbara,425 Transfer Ave Apt A,93101,CA,Santa Barbara,2122.0
56,56,M2303607338,condo,1195000,0.0,2,2,Santa Barbara,350 Chapala St Unit 210,93101,CA,Santa Barbara,1003.0
57,57,M2634020054,condo,1199000,1.0,2,3,Santa Barbara,3791 State St Unit D,93105,CA,Santa Barbara,1472.0
58,58,M1048846179,condo,1800000,1.0,2,3,Santa Barbara,105 W De La Guerra St Unit H,93101,CA,Santa Barbara,1535.0
59,59,M1620141852,condo,926000,0.0,1,1,Santa Barbara,1034 Fairway Rd,93108,CA,Santa Barbara,2258.0
60,60,M1116340427,condo,995000,0.0,2,3,Santa Barbara,282 N LA Cumbre Rd,93110,CA,Santa Barbara,1627.0
61,61,M2802392353,condo,1174000,0.0,2,2,Santa Barbara,15 W Arrellaga St Apt 4,93101,CA,Santa Barbara,1048.0
62,62,M1650546732,condo,2299999,1.0,2,2,Santa Barbara,310 E Canon Perdido St,93101,CA,Santa Barbara,1665.0
63,63,M1953332515,condo,1145000,1.0,1,1,Santa Barbara,401 Chapala St Apt 107,93101,CA,Santa Barbara,1066.0
64,64,M2094745121,condo,1049000,0.0,2,2,Santa Barbara,105 W De La Guerra St Unit K,93101,CA,Santa Barbara,1664.0
65,65,M1811080616,condo,1495000,0.0,2,3,Santa Barbara,3718 State St Unit 214,93105,CA,Santa Barbara,1985.0
66,66,M1816005040,condo,895000,1.0,1,1,Santa Barbara,18 W Victoria St Apt 107,93101,CA,Santa Barbara,700.0
67,67,M1170152448,condo,559000,0.0,2,2,Santa Barbara,955 Cieneguitas Rd Apt A,93110,CA,Santa Barbara,1724.0
68,68,M2183597796,condo,1395000,0.0,3,3,Santa Barbara,651 Verde Mar Dr Unit C,93103,CA,Santa Barbara,1250.0
69,69,M1648087180,condo,1449900,0.0,2,3,Santa Barbara,671 Del Parque Dr Unit C,93103,CA,Santa Barbara,1540.0
70,70,M2624392694,condo,605000,0.0,1,1,Santa Barbara,432 Por La Mar Cir,93103,CA,Santa Barbara,1686.0
71,71,M1060937342,condo,2250000,0.0,2,2,Santa Barbara,39 Seaview Dr,93108,CA,Santa Barbara,1310.0
72,72,M1990748502,condo,636000,0.0,2,2,Santa Barbara,2525 State St Apt 11,93105,CA,Santa Barbara,2422.0
73,73,M2078885605,condo,2150000,1.0,2,2,Santa Barbara,1375 Plaza De Sonadores,93108,CA,Santa Barbara,1694.0
74,74,M1066601766,condo,3600000,1.0,2,2,Santa Barbara,1385 Plaza Pacifica,93108,CA,Santa Barbara,2543.0
75,75,M2911526781,condo,595000,0.0,2,2,Santa Barbara,2638 State St Apt 20,93105,CA,Santa Barbara,1880.0
