,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
163,M2915716677,condo,1050000,0.0,2,2,Los Angeles,1658 Camden Ave Apt 108,90025,CA,Los Angeles,1468
164,M1887179814,condo,685000,0.0,2,1,Los Angeles,10501 Wilshire Blvd Unit 1608,90024,CA,Los Angeles,728
165,M2381576159,condo,560000,0.0,1,1,Los Angeles,750 N Kings Rd Apt 115,90069,CA,Los Angeles,664
166,M2716655311,condo,449888,0.0,1,1,Los Angeles,6151 Orange St Apt 118,90048,CA,Los Angeles,569
167,M2644654819,condo,409900,0.0,2,2,Sunland,10574 Sunland Blvd Unit 5,91040,CA,Los Angeles,1095
168,M1084530658,condo,399995,1.0,1,2,Mission Hills San Fer,9928 Sepulveda Blvd Apt 5,91345,CA,Los Angeles,975
169,M2414061392,condo,420000,1.0,2,3,Panorama City,8283 Willis Ave Apt 11,91402,CA,Los Angeles,1475
170,M2872898568,condo,510000,0.0,1,1,Los Angeles,600 W 9th St Apt 1208,90015,CA,Los Angeles,754
171,M9408918460,condo,1225900,0.0,2,3,Playa Vista,6030 Seabluff Dr Apt 420,90094,CA,Los Angeles,1322
172,M2306676689,condo,680000,0.0,2,2,Los Angeles,1827 Greenfield Ave Apt 102,90025,CA,Los Angeles,949
173,M2946061304,condo,395000,0.0,2,3,Canoga Park,20920 Community St Apt 2,91304,CA,Los Angeles,1323
174,M2951550770,condo,549000,0.0,2,2,Woodland Hills,21535 Erwin St Unit 119,91367,CA,Los Angeles,1240
175,M2804412538,condo,799000,0.0,1,1,Los Angeles,215 W 7th St Apt 1401,90014,CA,Los Angeles,910
176,M2339968016,condo,450000,1.0,2,3,Sunland,10514 Sunland Blvd Unit 1,91040,CA,Los Angeles,1204
177,M2355906467,condo,2080000,0.0,3,3,Playa Del Rey,6309 Ocean Front Walk Unit 203,90293,CA,Los Angeles,1660
178,M9073992689,condo,715000,1.0,3,4,Northridge,19502 Cardin Pl,91324,CA,Los Angeles,1814
179,M1456550265,condo,399000,0.0,2,3,Tarzana,5700 Etiwanda Ave Unit 161,91356,CA,Los Angeles,1096
180,M1945812225,condo,685000,0.0,2,2,Los Angeles,100 S Alameda St Unit 140,90012,CA,Los Angeles,1042
181,M2120447402,condo,835000,0.0,2,2,Los Angeles,2385 Roscomare Rd Unit D7,90077,CA,Los Angeles,1218
182,M2111468236,condo,475000,0.0,2,3,Chatsworth,10343 Larwin Ave,91311,CA,Los Angeles,1652
183,M2911319754,condo,399000,0.0,1,1,Los Angeles,421 S La Fayette Park Pl Apt 702,90057,CA,Los Angeles,715
184,M2643416818,condo,534900,1.0,2,2,San Pedro,2235 W 25th St Unit 134,90732,CA,Los Angeles,1360
185,M1489642422,condo,579000,1.0,2,2,Tarzana,5339 Lindley Ave Unit 103,91356,CA,Los Angeles,2112
186,M1954904013,condo,209000,0.0,1,1,Sun Valley,10749 New Haven St Unit 6,91352,CA,Los Angeles,369
187,M2095146486,condo,1499000,1.0,1,2,Los Angeles,10341 Wilshire Blvd,90024,CA,Los Angeles,1155
188,M2712439643,condo,788000,0.0,2,2,Los Angeles,831 S Gretna Green Way Apt 104,90049,CA,Los Angeles,1255
189,M1515281390,condo,549999,0.0,2,2,Encino,5440 Lindley Ave Unit 208,91316,CA,Los Angeles,1582
190,M2245803581,condo,1049000,0.0,3,5,Los Angeles,3501 Tilden Ave Ste 1,90034,CA,Los Angeles,1960
191,M1804939412,condo,2945000,1.0,3,4,Venice,520 Broadway St,90291,CA,Los Angeles,3150
192,M1426023925,condo,799000,1.0,2,3,Los Angeles,750 S Spaulding Ave Apt 313,90036,CA,Los Angeles,1601
193,M1377960611,condo,469000,0.0,1,1,Los Angeles,746 S Los Angeles St Apt 908,90014,CA,Los Angeles,659
194,M2543999844,condo,575000,0.0,1,1,Los Angeles,645 W 9th St Apt 438,90015,CA,Los Angeles,988
195,M2340989511,condo,2129000,1.0,2,2,Pacific Palisades,870 Haverford Ave Unit 403,90272,CA,Los Angeles,1916
196,M1573946266,condo,569000,0.0,1,1,Los Angeles,1050 S Grand Ave Unit 905,90015,CA,Los Angeles,650
197,M2856613351,condo,749000,0.0,2,2,Los Angeles,880 W 1st St Apt 406,90012,CA,Los Angeles,1629
198,M1728220056,condo,465000,0.0,3,3,Sylmar,13452 White Palms Ln,91342,CA,Los Angeles,1616
199,M2576741751,condo,499000,1.0,2,2,Valley Village,12458 Weddington St Unit 3,91607,CA,Los Angeles,1155
