property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
M2822770678,single_family,849900,0.0,1.0,2,Santa Barbara,93108,CA,Santa Barbara,4375.0,36590.0
M2218610144,single_family,2195000,1.0,3.0,4,Santa Barbara,93105,CA,Santa Barbara,3590.0,44431.0
M1510579981,single_family,2500000,0.0,3.0,3,Santa Barbara,93108,CA,Santa Barbara,4079.0,40946.0
M2254597672,single_family,2995000,1.0,4.0,5,Santa Barbara,93110,CA,Santa Barbara,2539.0,8712.0
M1494042126,single_family,1595000,0.0,2.0,4,Santa Barbara,93105,CA,Santa Barbara,3138.0,14810.0
M2559337731,single_family,995000,0.0,,0,Santa Barbara,93108,CA,Santa Barbara,2023.0,41818.0
M2015418556,single_family,1895000,0.0,3.0,4,Santa Barbara,93103,CA,Santa Barbara,2128.0,85813.0
M1937401342,single_family,1295000,0.0,3.0,3,Santa Barbara,93105,CA,Santa Barbara,1917.0,7841.0
M2093949269,single_family,1339000,1.0,2.0,3,Santa Barbara,93105,CA,Santa Barbara,5059.0,37897.0
M2426897721,single_family,4199000,1.0,4.0,4,Santa Barbara,93110,CA,Santa Barbara,6503.0,140699.0
M2339680894,single_family,1699000,0.0,4.0,5,Santa Barbara,93105,CA,Santa Barbara,1178.0,5663.0
M2448503743,single_family,2250000,0.0,3.0,3,Santa Barbara,93103,CA,Santa Barbara,1877.0,10019.0
M2652929998,single_family,4995000,1.0,5.0,5,Santa Barbara,93108,CA,Santa Barbara,5286.0,330620.0
M1098911338,single_family,5195000,0.0,4.0,4,Montecito,93108,CA,Santa Barbara,2955.0,16117.0
M2772847216,single_family,329900,0.0,2.0,3,Clovis,93611,CA,Fresno,1750.0,6370.0
M2609756930,single_family,2200000,0.0,7.0,7,Fresno,93711,CA,Fresno,9804.0,46609.0
M2895165412,single_family,227000,0.0,2.0,3,Fresno,93703,CA,Fresno,1393.0,7620.0
M1556071486,single_family,355000,0.0,2.0,3,Clovis,93611,CA,Fresno,1646.0,8364.0
M2575444014,single_family,305000,0.0,2.0,3,Clovis,93619,CA,Fresno,1379.0,4050.0
M1174105051,single_family,500000,0.0,2.0,4,Clovis,93619,CA,Fresno,2521.0,8750.0
M2061992576,single_family,330000,0.0,2.0,3,Fresno,93730,CA,Fresno,1458.0,7440.0
M1418949477,single_family,320000,0.0,2.0,3,Clovis,93619,CA,Fresno,1379.0,4380.0
M1043025325,single_family,419950,0.0,3.0,5,Clovis,93619,CA,Fresno,3100.0,8441.0
M2056265513,single_family,505000,1.0,3.0,5,Clovis,93619,CA,Fresno,3304.0,12197.0
M2980839814,single_family,149500,0.0,1.0,3,Fresno,93702,CA,Fresno,1286.0,7200.0
M2752722259,single_family,389000,1.0,2.0,4,Fresno,93723,CA,Fresno,2697.0,5000.0
M2137204511,single_family,635900,1.0,3.0,4,Clovis,93619,CA,Fresno,3772.0,8732.0
M1996490941,single_family,320000,0.0,3.0,3,Clovis,93611,CA,Fresno,1890.0,4752.0
M2358785330,single_family,329000,0.0,2.0,3,Fresno,93722,CA,Fresno,1981.0,6000.0
M2658787538,single_family,169900,0.0,1.0,3,Fresno,93703,CA,Fresno,1002.0,8100.0
M9090672822,single_family,288439,0.0,2.0,3,Fresno,93722,CA,Fresno,1440.0,5600.0
M1905978234,single_family,219000,0.0,2.0,3,Fresno,93705,CA,Fresno,1109.0,7680.0
M1849221714,single_family,545000,1.0,2.0,4,Fresno,93720,CA,Fresno,2999.0,12632.0
M2022788437,single_family,275000,0.0,2.0,3,Clovis,93619,CA,Fresno,1271.0,2814.0
M1438832831,single_family,435000,1.0,2.0,4,Clovis,93611,CA,Fresno,2674.0,9179.0
M2813598945,single_family,164900,0.0,2.0,3,Fresno,93701,CA,Fresno,1041.0,230868.0
M1048850184,single_family,229900,0.0,1.0,3,Fresno,93727,CA,Fresno,1789.0,7700.0
M2482138747,single_family,320000,0.0,1.0,3,Madera,93636,CA,Madera,864.0,6098.0
M1597714358,single_family,262500,0.0,2.0,3,Fresno,93726,CA,Fresno,1830.0,6300.0
M1149542761,single_family,159200,0.0,1.0,2,Fresno,93702,CA,Fresno,1872.0,7475.0
M1131368353,single_family,314995,0.0,2.0,2,Fresno,93711,CA,Fresno,3009.0,6325.0
M2145245914,single_family,290000,0.0,2.0,5,Fresno,93727,CA,Fresno,1872.0,4410.0
M2628771334,single_family,300000,1.0,2.0,4,Kerman,93630,CA,Fresno,1580.0,4500.0
M1094799091,single_family,320000,0.0,4.0,5,Fresno,93701,CA,Fresno,1271.0,3036.0
M1751977200,single_family,289000,1.0,2.0,3,Sanger,93657,CA,Fresno,1494.0,6600.0
M1304711265,single_family,349999,1.0,2.0,3,Clovis,93619,CA,Fresno,998.0,6700.0
M2223050018,single_family,265000,1.0,1.0,2,Clovis,93619,CA,Fresno,3147.0,14810.0
M2797480004,single_family,318000,0.0,2.0,4,Clovis,93611,CA,Fresno,2207.0,6000.0
M1900202013,single_family,227000,0.0,1.0,3,Fresno,93705,CA,Fresno,1735.0,8680.0
M1268395224,single_family,495000,0.0,4.0,4,Fresno,93711,CA,Fresno,1276.0,6200.0
M1637222584,single_family,435000,0.0,3.0,4,Fresno,93730,CA,Fresno,2642.0,12632.0
M2597063765,single_family,345000,0.0,2.0,4,Clovis,93611,CA,Fresno,2202.0,4840.0
M1904226735,single_family,225000,1.0,1.0,4,Fresno,93705,CA,Fresno,2282.0,6000.0
M1550866543,single_family,525000,1.0,2.0,3,Clovis,93619,CA,Fresno,1300.0,8280.0
M2972369072,single_family,330000,1.0,2.0,3,Fresno,93720,CA,Fresno,2516.0,8680.0
M1019048802,single_family,419900,0.0,3.0,4,Clovis,93619,CA,Fresno,1312.0,4452.0
M2915372845,single_family,319900,1.0,3.0,5,Fresno,93727,CA,Fresno,1720.0,6858.0
M2893276221,single_family,229900,0.0,2.0,3,Fresno,93710,CA,Fresno,2435.0,754024.0
P417000471478,single_family,491990,1.0,4.0,6,Clovis,93619,CA,Fresno,1700.0,6900.0
P417000471475,single_family,481990,1.0,4.0,6,Clovis,93619,CA,Fresno,2065.0,7500.0
P417000471476,single_family,430990,0.0,3.0,5,Clovis,93619,CA,Fresno,1885.0,3198.0
P417000471481,single_family,423990,1.0,3.0,4,Clovis,93619,CA,Fresno,3980.0,11326.0
P417000471487,single_family,410690,0.0,2.0,3,Clovis,93619,CA,Fresno,1220.0,7869.0
M2176389573,single_family,285000,0.0,2.0,4,Fresno,93727,CA,Fresno,1421.0,9600.0
M1383009885,single_family,419900,1.0,2.0,4,Clovis,93619,CA,Fresno,2213.0,9000.0
M1304421484,single_family,395000,1.0,2.0,3,Fresno,93730,CA,Fresno,2304.0,40075.0
M1765026701,single_family,695000,1.0,4.0,4,Fresno,93720,CA,Fresno,2138.0,8050.0
