property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
M1898956156,condo,334900.0,0.0,2.0,2,Elk Grove,95757,CA,Sacramento,1519.0
M9421731298,condo,439983.0,1.0,3.0,3,Sacramento,95833,CA,Sacramento,1656.0
M9618637857,condo,440416.0,1.0,3.0,3,Sacramento,95833,CA,Sacramento,1656.0
M1610700636,condo,255000.0,0.0,2.0,3,Rancho Cordova,95670,CA,Sacramento,1217.0
M1473024073,condo,350000.0,1.0,2.0,3,Sacramento,95831,CA,Sacramento,1414.0
M1265052295,condo,360000.0,1.0,2.0,3,Citrus Heights,95610,CA,Sacramento,1630.0
M1264139812,condo,247000.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,1002.0
M2464422320,condo,245000.0,1.0,1.0,3,Sacramento,95841,CA,Sacramento,1105.0
M2972318844,condo,395000.0,1.0,2.0,3,Sacramento,95831,CA,Sacramento,1485.0
M9640230657,condo,306760.0,2.0,2.0,3,Sacramento,95835,CA,Sacramento,1306.0
M1832944844,condo,289888.0,0.0,2.0,2,Elk Grove,95624,CA,Sacramento,1309.0
M1871939541,condo,150000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,840.0
M1724700792,condo,310000.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1429.0
M1907304920,condo,179000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,795.0
M2236873544,condo,850000.0,0.0,3.0,5,Sacramento,95821,CA,Sacramento,2154.0
M1458577878,condo,235000.0,0.0,1.0,2,Elk Grove,95624,CA,Sacramento,924.0
M2025668280,condo,410000.0,0.0,2.0,3,Roseville,95747,CA,Placer,1259.0
M2729958824,condo,225000.0,1.0,1.0,3,Rancho Cordova,95670,CA,Sacramento,1236.0
M2347663294,condo,265000.0,0.0,2.0,3,Antelope,95843,CA,Sacramento,1245.0
M1776156988,condo,895000.0,0.0,3.0,3,Sacramento,95811,CA,Sacramento,3123.0
M1175610913,condo,309935.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1306.0
M2499812587,condo,185000.0,1.0,2.0,3,Sacramento,95823,CA,Sacramento,1344.0
M1817307669,condo,290000.0,0.0,2.0,3,Sacramento,95842,CA,Sacramento,1085.0
M9292069290,condo,399000.0,1.0,3.0,4,Sacramento,95834,CA,Sacramento,2025.0
M9217286854,condo,262793.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1263.0
M2228450155,condo,190000.0,0.0,1.0,2,Sacramento,95841,CA,Sacramento,924.0
M2795790074,condo,215000.0,0.0,1.0,2,Sacramento,95831,CA,Sacramento,932.0
M2256138688,condo,356625.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1324.0
M2256026890,condo,359289.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1263.0
M9970687022,condo,408148.0,1.0,3.0,4,Sacramento,95834,CA,Sacramento,2025.0
M2604335332,condo,142000.0,0.0,1.0,2,Sacramento,95826,CA,Sacramento,840.0
M1115110589,condo,239000.0,0.0,2.0,2,Sacramento,95828,CA,Sacramento,900.0
M1209367530,condo,325000.0,0.0,2.0,2,Sacramento,95831,CA,Sacramento,1180.0
M1457124506,condo,115000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,840.0
M1961792342,condo,288000.0,1.0,2.0,2,Sacramento,95838,CA,Sacramento,1181.0
M1539318259,condo,229900.0,1.0,2.0,3,Sacramento,95825,CA,Sacramento,1380.0
M1574831205,condo,339900.0,0.0,2.0,2,Rancho Cordova,95670,CA,Sacramento,1311.0
M1999277266,condo,240000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,1050.0
M1914567313,condo,268500.0,0.0,2.0,3,Antelope,95843,CA,Sacramento,1193.0
M2356434059,condo,275000.0,1.0,1.0,2,Citrus Heights,95610,CA,Sacramento,1190.0
M2693272473,condo,194999.0,0.0,2.0,2,Sacramento,95826,CA,Sacramento,890.0
M2556508332,condo,159000.0,0.0,1.0,2,Sacramento,95842,CA,Sacramento,840.0
M2009932756,condo,135000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,668.0
M2952138373,condo,285000.0,0.0,2.0,3,Sacramento,95826,CA,Sacramento,1326.0
M2049763506,condo,198000.0,0.0,1.0,2,Elk Grove,95624,CA,Sacramento,840.0
M2884891017,condo,200000.0,0.0,1.0,2,Sacramento,95838,CA,Sacramento,781.0
M1450602966,condo,349900.0,0.0,1.0,2,Sacramento,95814,CA,Sacramento,950.0
M2413590569,condo,230000.0,0.0,2.0,3,Sacramento,95824,CA,Sacramento,1040.0
M2447960283,condo,450000.0,0.0,2.0,3,Roseville,95678,CA,Placer,1769.0
M1910696121,condo,239000.0,1.0,1.0,3,Citrus Heights,95621,CA,Sacramento,1323.0
M1820251679,condo,300000.0,0.0,2.0,3,Sacramento,95842,CA,Sacramento,1085.0
M1102861466,condo,390000.0,1.0,2.0,3,Sacramento,95831,CA,Sacramento,1550.0
M2455577913,condo,184900.0,1.0,1.0,3,Sacramento,95823,CA,Sacramento,1323.0
M9181592047,condo,150000.0,0.0,1.0,1,Sacramento,95826,CA,Sacramento,611.0
M1318645121,condo,423000.0,1.0,2.0,3,Roseville,95747,CA,Placer,1820.0
M2038533895,condo,339500.0,0.0,2.0,2,Roseville,95747,CA,Placer,1063.0
M2666509842,condo,289000.0,0.0,2.0,2,Roseville,95678,CA,Placer,1016.0
M2423093384,condo,235000.0,0.0,2.0,3,Sacramento,95824,CA,Sacramento,1042.0
M2554740660,condo,459000.0,0.0,2.0,3,Sacramento,95825,CA,Sacramento,1637.0
M1248019343,condo,209000.0,0.0,2.0,2,Rancho Cordova,95670,CA,Sacramento,941.0
M2842341563,condo,150000.0,0.0,1.0,2,Sacramento,95833,CA,Sacramento,956.0
M2821300798,condo,139900.0,0.0,1.0,2,Sacramento,95842,CA,Sacramento,840.0
M2953580402,condo,239500.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,967.0
M1221588833,condo,309500.0,0.0,2.0,4,Carmichael,95608,CA,Sacramento,1872.0
M1886435992,condo,379950.0,1.0,2.0,4,Citrus Heights,95621,CA,Sacramento,1948.0
M2358725380,condo,187000.0,0.0,1.0,2,Sacramento,95821,CA,Sacramento,952.0
M2858140763,condo,105000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,924.0
M2930065592,condo,195000.0,0.0,1.0,2,Sacramento,95825,CA,Sacramento,1000.0
M1953701019,condo,196000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,958.0
M2079624564,condo,439000.0,1.0,1.0,2,Sacramento,95814,CA,Sacramento,1014.0
M2805877495,condo,210000.0,0.0,1.0,1,Elk Grove,95758,CA,Sacramento,722.0
M2883520430,condo,199000.0,0.0,2.0,2,Fair Oaks,95628,CA,Sacramento,994.0
M1135140099,condo,410000.0,1.0,2.0,2,Gold River,95670,CA,Sacramento,1564.0
M2941059045,condo,279000.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,1099.0
M2598080951,condo,449000.0,3.0,3.0,3,Sacramento,95825,CA,Sacramento,1776.0
M2222384336,condo,169900.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,682.0
M2701720715,condo,179000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,701.0
M2760580085,condo,269900.0,0.0,1.0,3,Sacramento,95826,CA,Sacramento,1191.0
M2941319906,condo,195000.0,0.0,1.0,2,Sacramento,95825,CA,Sacramento,781.0
M2705315365,condo,210000.0,0.0,1.0,2,Elk Grove,95624,CA,Sacramento,840.0
M1279241172,condo,355000.0,0.0,2.0,2,Sacramento,95831,CA,Sacramento,1325.0
M1148704902,condo,325000.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1522.0
M1932232687,condo,245000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,857.0
M2361539494,condo,325000.0,0.0,2.0,2,Citrus Heights,95610,CA,Sacramento,1649.0
M1353484376,condo,299000.0,1.0,2.0,3,Fair Oaks,95628,CA,Sacramento,1746.0
M1981911337,condo,259950.0,0.0,2.0,2,Citrus Heights,95621,CA,Sacramento,1060.0
M1951465062,condo,274900.0,1.0,2.0,3,Citrus Heights,95621,CA,Sacramento,1323.0
M2510804114,condo,399950.0,1.0,2.0,3,Sacramento,95825,CA,Sacramento,1748.0
M1893646418,condo,220000.0,0.0,2.0,3,Rancho Cordova,95670,CA,Sacramento,1240.0
M2665663730,condo,347000.0,0.0,1.0,2,Sacramento,95814,CA,Sacramento,950.0
M1448151243,condo,299000.0,0.0,2.0,3,Sacramento,95833,CA,Sacramento,1178.0
M1324008942,condo,425000.0,0.0,2.0,2,Sacramento,95822,CA,Sacramento,1323.0
M1029448996,condo,264500.0,0.0,1.0,1,Roseville,95678,CA,Placer,851.0
M1829415002,condo,189000.0,0.0,1.0,2,Sacramento,95842,CA,Sacramento,924.0
M2554351063,condo,750000.0,1.0,1.0,1,Sacramento,95811,CA,Sacramento,1219.0
M2704936713,condo,200000.0,1.0,2.0,2,Sacramento,95841,CA,Sacramento,1210.0
M2408491432,condo,170000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,1034.0
M1560984688,condo,249000.0,1.0,1.0,2,Sacramento,95825,CA,Sacramento,1228.0
M2350508775,condo,275000.0,0.0,2.0,2,Citrus Heights,95610,CA,Sacramento,1171.0
M2840278148,condo,169900.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,1002.0
M2438631690,condo,269900.0,1.0,1.0,3,Sacramento,95826,CA,Sacramento,1191.0
M2540664158,condo,529000.0,0.0,1.0,1,Sacramento,95811,CA,Sacramento,942.0
M1975258832,condo,240000.0,1.0,1.0,4,Rancho Cordova,95670,CA,Sacramento,1476.0
M1953142030,condo,314950.0,0.0,2.0,3,Citrus Heights,95621,CA,Sacramento,1488.0
M1826977647,condo,199000.0,0.0,1.0,1,Sacramento,95831,CA,Sacramento,717.0
M1261677419,condo,329990.0,1.0,2.0,3,West Sacramento,95691,CA,Yolo,1487.0
M1155114644,condo,218000.0,0.0,2.0,2,Carmichael,95608,CA,Sacramento,1017.0
M1574796506,condo,275000.0,0.0,2.0,2,Roseville,95678,CA,Placer,1086.0
M2943481331,condo,255000.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,1228.0
M2526964082,condo,409000.0,0.0,2.0,3,Roseville,95678,CA,Placer,1674.0
M1953793649,condo,215000.0,0.0,1.0,2,Sacramento,95826,CA,Sacramento,1036.0
M2712932171,condo,338900.0,0.0,2.0,2,West Sacramento,95691,CA,Yolo,1728.0
M1050973270,condo,145000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,895.0
M2018466078,condo,208800.0,0.0,1.0,3,Sacramento,95823,CA,Sacramento,1218.0
M2473912757,condo,159000.0,1.0,1.0,2,Sacramento,95823,CA,Sacramento,1116.0
M1802826809,condo,459000.0,0.0,2.0,4,Roseville,95747,CA,Placer,1512.0
M2224191228,condo,285000.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1432.0
M2533871732,condo,180000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,668.0
M2011293347,condo,251888.0,0.0,2.0,3,Sacramento,95828,CA,Sacramento,1058.0
M2130088518,condo,225000.0,0.0,1.0,2,Sacramento,95826,CA,Sacramento,1140.0
M2096942190,condo,215500.0,0.0,2.0,2,Sacramento,95834,CA,Sacramento,958.0
M2114652624,condo,258000.0,0.0,2.0,4,Sacramento,95841,CA,Sacramento,1449.0
M2311554492,condo,289000.0,0.0,2.0,2,Carmichael,95608,CA,Sacramento,1154.0
M1952992966,condo,313500.0,1.0,2.0,3,Citrus Heights,95621,CA,Sacramento,1548.0
M2719362426,condo,545000.0,1.0,2.0,3,Sacramento,95811,CA,Sacramento,1485.0
M2919571088,condo,225000.0,1.0,2.0,2,Sacramento,95842,CA,Sacramento,1456.0
M1564085590,condo,299000.0,0.0,2.0,3,Sacramento,95838,CA,Sacramento,1208.0
M2917872169,condo,270000.0,1.0,1.0,3,Sacramento,95826,CA,Sacramento,1191.0
M1074396613,condo,285000.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1429.0
M2552616501,condo,179888.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,701.0
M2791364874,condo,265000.0,0.0,2.0,2,Sacramento,95838,CA,Sacramento,987.0
M2345962330,condo,325000.0,1.0,2.0,3,Fair Oaks,95628,CA,Sacramento,1684.0
M1403100080,condo,350000.0,0.0,4.0,3,Rancho Cordova,95670,CA,Sacramento,1658.0
M2106491383,condo,315000.0,0.0,2.0,3,Carmichael,95608,CA,Sacramento,1357.0
M1195625844,condo,285000.0,0.0,2.0,2,Citrus Heights,95621,CA,Sacramento,1157.0
M2725863453,condo,339500.0,0.0,2.0,2,West Sacramento,95691,CA,Yolo,1728.0
M2372532947,condo,294999.0,1.0,2.0,3,Citrus Heights,95610,CA,Sacramento,1621.0
M1543824289,condo,310000.0,0.0,2.0,3,Citrus Heights,95621,CA,Sacramento,1369.0
M1631545931,condo,375000.0,0.0,2.0,2,Sacramento,95814,CA,Sacramento,840.0
M2909360220,condo,234950.0,0.0,2.0,3,Sacramento,95842,CA,Sacramento,1456.0
M1157089739,condo,649000.0,0.0,3.0,4,Sacramento,95825,CA,Sacramento,2537.0
M2959904210,condo,263000.0,0.0,2.0,2,Antelope,95843,CA,Sacramento,940.0
M2536256752,condo,509950.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,2039.0
M1266622233,condo,278500.0,1.0,2.0,2,Sacramento,95835,CA,Sacramento,1288.0
M1158816323,condo,167000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,527.0
M2752940567,condo,174999.0,0.0,1.0,2,Sacramento,95826,CA,Sacramento,924.0
M2641485654,condo,285000.0,0.0,2.0,2,Elk Grove,95758,CA,Sacramento,1076.0
M2459676247,condo,145000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,725.0
M1242410927,condo,280000.0,1.0,2.0,3,West Sacramento,95691,CA,Yolo,1502.0
M1177250614,condo,267500.0,0.0,2.0,2,Sacramento,95835,CA,Sacramento,1303.0
M2994007623,condo,357500.0,0.0,2.0,2,Sacramento,95831,CA,Sacramento,1297.0
M2408677762,condo,155000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,1034.0
M1468871107,condo,295000.0,0.0,2.0,2,Sacramento,95833,CA,Sacramento,1134.0
M2222412888,condo,279950.0,1.0,2.0,2,Sacramento,95835,CA,Sacramento,1254.0
M1471852382,condo,169777.0,0.0,1.0,2,Sacramento,95833,CA,Sacramento,956.0
M2740577018,condo,275000.0,0.0,2.0,2,Elk Grove,95758,CA,Sacramento,1239.0
M1789480218,condo,139900.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,642.0
M2484345294,condo,375000.0,1.0,2.0,3,Sacramento,95825,CA,Sacramento,1821.0
M2702605161,condo,210000.0,0.0,2.0,2,Antelope,95843,CA,Sacramento,890.0
M2805783673,condo,205000.0,0.0,2.0,2,Citrus Heights,95621,CA,Sacramento,929.0
M1146223980,condo,310000.0,0.0,2.0,3,Sacramento,95835,CA,Sacramento,1351.0
M1175573647,condo,322980.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1354.0
M2160600034,condo,359000.0,1.0,2.0,3,Roseville,95678,CA,Placer,1337.0
M2325950519,condo,250000.0,1.0,1.0,2,Fair Oaks,95628,CA,Sacramento,1260.0
M2763392365,condo,187000.0,0.0,2.0,2,Citrus Heights,95621,CA,Sacramento,929.0
M2488521006,condo,120000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,896.0
M2476948968,condo,150000.0,1.0,1.0,2,Sacramento,95823,CA,Sacramento,988.0
M1499131052,condo,184999.0,0.0,1.0,2,Sacramento,95833,CA,Sacramento,956.0
M1662930461,condo,289000.0,1.0,1.0,2,Roseville,95678,CA,Placer,941.0
M2742797904,condo,214500.0,0.0,1.0,2,Sacramento,95831,CA,Sacramento,1074.0
M2711412488,condo,146000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,688.0
M1427436726,condo,430000.0,1.0,2.0,4,Roseville,95747,CA,Placer,2123.0
M2682465350,condo,250000.0,0.0,1.0,1,Sacramento,95835,CA,Sacramento,1125.0
M2950550244,condo,168000.0,0.0,1.0,1,Sacramento,95841,CA,Sacramento,682.0
M2786659918,condo,239000.0,0.0,1.0,2,Sacramento,95831,CA,Sacramento,932.0
M1330593119,condo,205000.0,0.0,2.0,2,Citrus Heights,95621,CA,Sacramento,1014.0
M2251015219,condo,315000.0,1.0,2.0,2,Carmichael,95608,CA,Sacramento,1407.0
M1493591051,condo,465000.0,0.0,1.0,2,Fremont,94536,CA,Alameda,750.0
M1570443912,condo,398000.0,0.0,1.0,2,Walnut Creek,94595,CA,Contra Costa,1158.0
M1652913442,condo,585000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1054.0
M2216724467,condo,1300000.0,0.0,1.0,1,San Francisco,94107,CA,San Francisco,881.0
M1104240183,condo,425000.0,0.0,1.0,1,Union City,94587,CA,Alameda,695.0
M2380678474,condo,988888.0,1.0,2.0,3,Fremont,94536,CA,Alameda,1730.0
M1241792261,condo,400000.0,0.0,1.0,1,Oakland,94607,CA,Alameda,668.0
M1219040441,condo,679000.0,1.0,2.0,3,Hayward,94541,CA,Alameda,1468.0
M1077822269,condo,480000.0,0.0,2.0,2,Walnut Creek,94596,CA,Contra Costa,1077.0
M1671813815,condo,2695000.0,0.0,3.0,3,San Francisco,94123,CA,San Francisco,2030.0
M1764025961,condo,1795000.0,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1238.0
M2455581307,condo,1550000.0,0.0,1.0,2,San Francisco,94127,CA,San Francisco,1293.0
M2298641856,condo,499000.0,1.0,1.0,2,Castro Valley,94546,CA,Alameda,1014.0
M1251903041,condo,799000.0,0.0,2.0,2,Oakland,94612,CA,Alameda,1062.0
M1894370734,condo,1200000.0,0.0,1.0,2,San Francisco,94110,CA,San Francisco,1216.0
M1027587778,condo,590000.0,1.0,2.0,2,Walnut Creek,94597,CA,Contra Costa,1202.0
M2377460642,condo,440000.0,0.0,2.0,2,Hercules,94547,CA,Contra Costa,1274.0
M1560978362,condo,589900.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1054.0
M2125057127,condo,789000.0,0.0,1.0,3,San Mateo,94403,CA,San Mateo,1008.0
M2873922663,condo,625000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1212.0
M9706118596,condo,1499000.0,0.0,2.0,2,San Francisco,94110,CA,San Francisco,1144.0
M2606508496,condo,435000.0,0.0,1.0,2,San Ramon,94583,CA,Contra Costa,1039.0
M9967892468,condo,1149000.0,0.0,2.0,2,San Francisco,94110,CA,San Francisco,1038.0
M1585872012,condo,360000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1157.0
M1714705296,condo,949000.0,0.0,1.0,1,San Francisco,94107,CA,San Francisco,868.0
M1083060869,condo,500000.0,1.0,2.0,3,San Pablo,94806,CA,Contra Costa,1541.0
M9976441698,condo,1100000.0,0.0,1.0,2,San Francisco,94117,CA,San Francisco,1017.0
M1909572212,condo,370000.0,0.0,1.0,1,Walnut Creek,94598,CA,Contra Costa,665.0
M2128364994,condo,610000.0,0.0,2.0,3,Dublin,94568,CA,Alameda,1070.0
M9916059439,condo,795000.0,0.0,1.0,1,San Francisco,94110,CA,San Francisco,538.0
M2191963741,condo,469000.0,0.0,2.0,2,Hayward,94544,CA,Alameda,878.0
M1196323961,condo,2395000.0,0.0,3.0,4,Tiburon,94920,CA,Marin,2127.0
M2866587509,condo,549000.0,0.0,2.0,2,San Ramon,94582,CA,Contra Costa,1058.0
M2824204760,condo,489999.0,1.0,2.0,2,Pinole,94564,CA,Contra Costa,1651.0
M2308358090,condo,799888.0,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1219.0
M1342496821,condo,1850000.0,1.0,2.0,2,San Francisco,94103,CA,San Francisco,1227.0
M1358830770,condo,335000.0,0.0,1.0,1,Richmond,94804,CA,Contra Costa,533.0
M1075880954,condo,599000.0,0.0,2.0,2,Union City,94587,CA,Alameda,1006.0
M1161262148,condo,749000.0,1.0,2.0,2,Oakland,94607,CA,Alameda,1459.0
M9621548757,condo,839984.0,1.0,3.0,4,San Leandro,94578,CA,Alameda,1918.0
M1474713144,condo,815000.0,0.0,1.0,1,Lafayette,94549,CA,Contra Costa,911.0
M1262771427,condo,1059888.0,0.0,4.0,4,San Ramon,94582,CA,Contra Costa,2232.0
M1599995804,condo,549000.0,0.0,1.0,2,Walnut Creek,94595,CA,Contra Costa,1330.0
M1466440810,condo,689000.0,0.0,3.0,3,San Leandro,94577,CA,Alameda,1514.0
M1997804880,condo,1200000.0,0.0,1.0,1,San Francisco,94133,CA,San Francisco,1028.0
M2651192193,condo,649000.0,0.0,2.0,2,Oakland,94612,CA,Alameda,1648.0
M1212121572,condo,910000.0,0.0,2.0,3,Corte Madera,94925,CA,Marin,1596.0
M1528407928,condo,408000.0,0.0,1.0,2,Walnut Creek,94595,CA,Contra Costa,1054.0
M1262072057,condo,1178000.0,1.0,1.0,1,San Francisco,94158,CA,San Francisco,925.0
M1112677143,condo,799000.0,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1051.0
M1618991375,condo,1199000.0,0.0,2.0,2,Oakland,94607,CA,Alameda,2411.0
M9863089927,condo,1430000.0,0.0,2.0,2,San Francisco,94123,CA,San Francisco,968.0
M1095219044,condo,1455000.0,0.0,1.0,2,San Francisco,94133,CA,San Francisco,1135.0
M1229658118,condo,728000.0,0.0,1.0,1,San Francisco,94103,CA,San Francisco,563.0
M1411315583,condo,1089000.0,0.0,1.0,1,San Francisco,94105,CA,San Francisco,920.0
M2044755260,condo,715000.0,0.0,1.0,1,San Francisco,94109,CA,San Francisco,632.0
M2877362319,condo,2688000.0,0.0,2.0,3,San Francisco,94133,CA,San Francisco,2700.0
M2096325147,condo,196842.0,0.0,1.0,1,San Francisco,94124,CA,San Francisco,530.0
M2095281701,condo,240000.0,0.0,1.0,1,San Francisco,94124,CA,San Francisco,506.0
M1685751430,condo,1079000.0,0.0,1.0,1,San Francisco,94105,CA,San Francisco,759.0
M2730943541,condo,3300000.0,0.0,2.0,3,San Francisco,94133,CA,San Francisco,1515.0
M2346387541,condo,1288000.0,1.0,2.0,3,Foster City,94404,CA,San Mateo,1380.0
M1787764030,condo,1299000.0,0.0,1.0,1,San Francisco,94105,CA,San Francisco,819.0
M2062763392,condo,695000.0,0.0,2.0,2,Alameda,94502,CA,Alameda,1274.0
M1560836146,condo,459500.0,0.0,1.0,1,Walnut Creek,94596,CA,Contra Costa,619.0
M2987450832,condo,644900.0,0.0,2.0,3,San Ramon,94583,CA,Contra Costa,951.0
M1888060653,condo,859000.0,2.0,1.0,2,Alameda,94501,CA,Alameda,1550.0
M1641346479,condo,598000.0,0.0,2.0,3,Moraga,94556,CA,Contra Costa,1473.0
M2910609959,condo,430000.0,1.0,1.0,2,Walnut Creek,94597,CA,Contra Costa,967.0
M1677581050,condo,1850000.0,0.0,2.0,2,San Francisco,94102,CA,San Francisco,1187.0
M2997625048,condo,595000.0,0.0,1.0,2,Oakland,94611,CA,Alameda,1027.0
M1593694711,condo,548000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1168.0
M2011104113,condo,1888888.0,0.0,2.0,2,San Francisco,94104,CA,San Francisco,1382.0
M2502845558,condo,1495000.0,0.0,2.0,2,San Francisco,94118,CA,San Francisco,1515.0
M2474291803,condo,799000.0,1.0,1.0,2,Oakland,94607,CA,Alameda,1924.0
M1763113081,condo,2735000.0,0.0,3.0,3,Lafayette,94549,CA,Contra Costa,2931.0
M2732677647,condo,799000.0,0.0,1.0,1,San Francisco,94105,CA,San Francisco,832.0
M1474773155,condo,775000.0,0.0,1.0,1,San Francisco,94115,CA,San Francisco,740.0
M2091579869,condo,469000.0,0.0,1.0,1,Richmond,94804,CA,Contra Costa,915.0
M1486660991,condo,999000.0,0.0,1.0,1,San Francisco,94158,CA,San Francisco,682.0
M1224251924,condo,1998000.0,1.0,3.0,3,San Francisco,94122,CA,San Francisco,2213.0
M2940633131,condo,1050000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1768.0
M1976851605,condo,1995000.0,0.0,3.0,3,San Francisco,94107,CA,San Francisco,2783.0
M1531650065,condo,420000.0,0.0,1.0,2,Walnut Creek,94595,CA,Contra Costa,1054.0
M1403228874,condo,799000.0,0.0,1.0,1,San Francisco,94110,CA,San Francisco,631.0
M9869847273,condo,828888.0,0.0,2.0,3,Fremont,94536,CA,Alameda,1740.0
M2717181925,condo,1249000.0,0.0,1.0,2,San Francisco,94109,CA,San Francisco,1044.0
M2441120559,condo,1399000.0,0.0,2.0,2,San Francisco,94103,CA,San Francisco,1559.0
M2408688704,condo,1450000.0,0.0,2.0,2,San Francisco,94114,CA,San Francisco,1205.0
M2215602394,condo,599000.0,0.0,1.0,1,Emeryville,94608,CA,Alameda,830.0
M9912016359,condo,799000.0,1.0,3.0,4,Hayward,94544,CA,Alameda,2074.0
M2043683229,condo,759000.0,0.0,2.0,2,Alameda,94502,CA,Alameda,1274.0
M1138198507,condo,495000.0,1.0,1.0,2,Hayward,94541,CA,Alameda,1129.0
M1448908179,condo,888000.0,1.0,1.0,2,San Francisco,94134,CA,San Francisco,948.0
M2894056023,condo,315000.0,0.0,1.0,1,Hayward,94544,CA,Alameda,786.0
M1613333863,condo,560000.0,0.0,2.0,2,Walnut Creek,94595,CA,Contra Costa,1179.0
